Workout Title,Category,Routine Link,Tables,Summary
Dumbbell Only Workout: 5 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/5-day-dumbbell-only-workout-split,"[{'title': 'Day 1: Chest, Shoulders, & Triceps Dumbbell Workout', 'content': [[], ['Dumbbell Bench Press', '5', '8-10'], ['Incline Dumbbell Bench Press', '4', '8-10'], ['Dumbbell Floor Press', '3', '8-12'], ['Standing Dumbbell Press', '4', '8-10'], ['Dumbbell Lateral Raise', '3', '8-12'], ['Dumbbell Tricep Kickback', '3', '8-12']]}, {'title': 'Day 2: Legs & Core Dumbbell Workout', 'content': [[], ['Dumbbell Goblet Squat', '4', '8-10'], ['Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['Dumbbell Rear Lunge', '4', '8-10 Each'], ['Dumbbell Frog Squat', '3', '8-12'], ['Dumbbell Calf Raise', '4', '20'], ['Weighted Crunch', '3', '20'], ['Side Planks', '3', '20 Secs Each']]}, {'title': 'Day 3: Back & Biceps Dumbbell Workout', 'content': [[], ['Dumbbell Bent Over Row', '4', '8-12'], ['Tripod Dumbbell Row', '4', '8-12 Each'], ['Dumbbell Pullover', '3', '8-12'], ['Reverse Grip Dumbbell Row', '4', '8-12'], ['Dumbbell Bicep Curl', '3', '10-15'], ['Dumbbell Hammer Curl', '3', '10-15']]}, {'title': 'Day 4: Legs & Core Dumbbell Workout', 'content': [[], ['Dumbbell Squat', '4', '8-10'], ['Dumbbell Deadlift', '4', '8-10'], ['Dumbbell Split Squat', '3', '8-12 Each'], ['Dumbbell Hip Thrust', '4', '10-15'], ['Dumbbell Calf Raise', '4', '20'], ['Dumbbell Side Bends', '3', '15 Each'], ['Plank', '3', '20 Secs']]}, {'title': 'Day 5: Complete Upper Body Dumbbell Workout', 'content': [[], ['One Arm Dumbbell Rows', '4', '8-10 Each'], ['Dumbbell Arnold Press', '4', '8-10'], ['Incline Dumbbell Bench Press', '4', '8-12'], ['Chest Supported Dumbbell Row', '3', '8-12'], ['Dumbbell Pinwheel Curl', '2', '8-12'], ['Overhead Dumbbell Tricep Extension', '3', '8-12'], ['Dumbbell Shrug', '3', '12-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
10 Week Mass Building Program,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html,"[{'title': 'Monday - Chest and Triceps', 'content': [[], ['Barbell Bench Press', '4', '10, 8, 8, 6'], ['Incline Bench Press', '3', '8, 8, 6'], ['Decline Bench Press', '3', '8, 8, 6'], ['Dumbbell Flys', '2', '10'], ['Dumbbell Pullover', '2', '8'], ['Tricep Extension', '4', '10, 8, 8, 6 adding weight'], ['Tricep Dip', '3', '10'], ['Tricep Bench Dip', '3', '8']]}, {'title': 'Tuesday - Back and Biceps', 'content': [[], ['Deadlift', '5', '10, 8, 8, 6, 4'], ['Chin Up', '2', '8'], ['One Arm Dumbbell Row', '3', '8'], ['Seated Row', '2', '8'], ['Close Grip Lat Pull Down', '3', '10, 10, 8'], ['Standing Barbell Curl', '3', '8, 8, 6'], ['Close Grip Preacher Curl', '3', '8, 8, 6'], ['Incline Dumbbell Curl', '2', '12-14'], ['Concentration Curl', '2', '10']]}, {'title': 'Thursday - Shoulders and Forearms', 'content': [[], ['Machine Shoulder Press', '3', '10'], ['Dumbbell Reverse Fly', '3', '8-10'], ['Military Press', '4', '10'], ['Dumbbell Lateral Raise', '2', '10'], ['Dumbbell Shrugs', '2', '10'], ['Upright Row', '2', '10'], ['Standing Wrist Curl', '4', '10'], ['Barbell Wrist Curl', '4', '10']]}, {'title': 'Friday - Legs', 'content': [[], ['Squat', '5', '10, 8, 8, 6, 4'], ['Leg Extension', '3', '12'], ['Leg Curl', '3', '12'], ['Calves'], ['Exercise', 'Sets', 'Reps'], ['Standing Calf Raise', '4', '12'], ['Seated calf Raise', '2', '12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Advanced', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '50 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male', 'Recommended Supps': 'Whey Protein\nCreatine Monohydrate\nEssential Fats (EFAs)\nMultivitamin\nWeight Gainer (optional)', 'Workout PDF': 'Download Workout'}"
6 Day Push/Pull/Legs (PPL) Powerbuilding Workout Split & Meal Plan,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/6-day-powerbuilding-split-meal-plan,"[{'title': 'Push Workout A - Chest, Shoulders & Triceps', 'content': [[], ['Flat Barbell Bench Press', '5', '15', '90-120 sec'], ['Flat Barbell Bench Press (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Seated Behind the Neck Press', '3', '25', '60 sec'], ['(Weighted) Tricep Dips', '3', '30', '60 sec'], ['Standing Cable Crossovers', '5', '50', '30 sec'], ['Seated Tricep Extensions (Dumbbell, Rope, or EZ Bar)', '5', '50', '30 sec'], ['Seated Dumbbell Lateral Raises', '5', '50', '15 sec']]}, {'title': 'Pull Workout A - Back, Traps & Biceps', 'content': [[], ['Barbell Conventional Deadlift', '5', '15', '90-120 sec'], ['Barbell Conventional Deadlift (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['(Weighted) Chin-ups', '3', '25', '60 sec'], ['Chest Supported Rows', '3', '30', '60 sec'], ['Shrugs (Dumbbell, Barbell, or Trap Bar)', '5', '50', '30 sec'], ['Standing Barbell Curls', '5', '50', '30 sec'], ['Standing Cable Reverse Fly', '5', '50', '15 sec']]}, {'title': 'Legs Workout A - Quads, Hamstrings & Calves', 'content': [[], ['Barbell Back Squat', '5', '15', '90-120 sec'], ['Barbell Back Squat (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Good Mornings', '3', '25', '60 sec'], ['Leg Press', '3', '30', '60 sec'], ['Reverse Hyperextension', '5', '50', '30 sec'], ['Leg Curl (Seated or Lying)', '5', '50', '30 sec'], ['Calf Raise (Seated or Standing)', '5', '50', '15 sec']]}, {'title': 'Push Workout B - Chest, Shoulders & Triceps', 'content': [[], ['Standing Overhead Press', '5', '15', '90-120 sec'], ['Standing Overhead Press (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Incline Bench Press (Dumbbell or Barbell)', '3', '25', '60 sec'], ['Close Grip Bench Press', '3', '30', '60 sec'], ['Seated Machine Fly', '5', '50', '30 sec'], ['Standing Tricep Pushdown (Rope, V-bar, or Straight Bar)', '5', '50', '30 sec'], ['Standing Cable Lateral Raises', '5', '50', '15 sec']]}, {'title': 'Pull Workout B - Back, Traps & Biceps', 'content': [[], ['Barbell Snatch Grip Deadlift', '5', '15', '90-120'], ['Barbell Snatch Grip Deadlift (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Rows', '3', '25', '60 sec'], ['(Weighted) Pull-ups', '3', '30', '60 sec'], ['1-arm Rows (Dumbbell or Barbell)', '5', '50', '30 sec'], ['Incline Dumbbell Curl', '5', '50', '30 sec'], ['Seated Machine Reverse Fly', '5', '50', '15 sec']]}, {'title': 'Legs Workout B - Quads, Hamstrings & Calves', 'content': [[], ['Quads, Hamstrings & Calves'], ['Exercise', 'Sets', 'Rep Goal Total', 'Rest'], ['Barbell Front Squat', '5', '15', '90-120 sec'], ['Barbell Front Squat (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Romanian Deadlifts', '3', '25', '60 sec'], ['Barbell Hip Thrusts', '3', '30', '60 sec'], ['Dumbbell Lunges', '5', '50', '30 sec'], ['Seated Leg Extensions', '5', '50', '30 sec'], ['Hanging Leg Raises', '5', '50', '15 sec']]}, {'title': 'Legs Workout B - Quads, Hamstrings & Calves', 'content': [[], ['07:00\nWake Up', '', ''], ['07:30', '1 to 2 cups of coffee; 1 serving multivitamin (general health), 2-3g EPA/DHA fish oil (general health & inflammation control).', '50 calories, 0g protein, 0g carbs, 5.5g fat, 0g fiber, 0mg calcium'], ['8:00\nBreakfast', '6 large eggs, 1.5 cups fresh blueberries, 4 slices of turkey bacon, 1.5 cups of sliced mushrooms, 1 cup of sliced green peppers, 1 ounce of Swiss cheese.', '845 calories, 60g protein, 43g carbs, 49g fat, 9g fiber, 420mg calcium'], ['12:00\nLunch', '0.5 cup dry-measure jasmine rice, 6 ounces of roasted turkey breast, 1 cup steamed spinach, 1 tablespoon olive oil, 1 large red delicious apple.', '886 calories, 63g protein, 122g carbs, 18g fat, 9g fiber, 410mg calcium'], ['16:00\nPre Workout Snack', '2 slices of whole wheat bread, 3 tablespoons of peanut butter, 1 cup of whole milk, 1 scoop of whey protein, 1.5 cups sliced strawberries.', '737 calories, 49g protein, 68g carbs, 32g fat, 12g fiber, 520mg calcium'], ['17:30\nPre Workout', '0 to 300mg of caffeine (energy), 5g creatine (power output), 500mg agmatine sulfate (muscle pumps), 2000mg citrulline malate (muscle pumps), and 3000mg beta-alanine (muscular endurance)', ''], ['18:00-19:30\nWorkout', '10 to 15g of BCAAs intra-workout (recovery & fatigue management). Nutrition – 60 calories, 15g protein, 0g carbs, 0g fat, 0g fiber, 0mg calcium', ''], ['20:00\nDinner', '4 ounces dry-measure whole wheat pasta, 2 cups of tomato sauce, 2 cups steamed broccoli, 4 ounces raw-measure ground beef (80% lean/20% fat).', '931 calories, 48g protein, 134g carbs, 28g fat, 29g fiber, 200mg calcium'], ['23:00\nBed', '1 serving of ZMA (relaxation & nervous system recovery)', '']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nCreatine\nMultivitamin\nBCAAs\nCitrulline Malate\nAgmatine Sulfate\nBeta-Alanine\nZMA', 'Workout PDF': 'Download Workout'}"
4 Day Maximum Mass Workout,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/4-day-maximum-mass-workout,"[{'title': 'Day 1 - Back & Biceps', 'content': [[], ['Deadlift', '2', '5'], ['One Arm Dumbbell Row', '3', '8-12'], ['Wide Grip Pull Up or Lat Pull Down', '3', '10-12'], ['Barbell Row', '3', '8-12'], ['Seated Cable Row or Machine Row', '5 Minutes', 'Burn'], ['EZ Bar Preacher Curl', '3', '10-12'], ['Concentration Curl', '3', '10-12'], ['Seated Dumbbell Curl', '5 Minutes', 'Burn']]}, {'title': 'Day 2 - Chest & Triceps', 'content': [[], ['Bench Press', '3', '6-10'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Chest Dip', '3', 'AMRAP'], ['Cable Crossover or Pec Dec', '3', '12-15'], ['Machine Press or Dumbbell Bench Press', '5 Minutes', 'Burn'], ['EZ Bar Skullcrusher', '3', '8-12'], ['Two Arm Seated Dumbbell Extension', '3', '8-12'], ['Cable Tricep Extension', '5 Minutes', 'Burn']]}, {'title': 'Day 4 - Quads, Hamstrings, and Calves', 'content': [[], ['Squat', '3', '6-10'], ['Leg Press', '3', '15-20'], ['Hack Squat or Dumbbell Lunge', '3', '8-12'], ['Leg Extension', '5 Minutes', 'Burn'], ['Stiff Leg Deadlift', '3', '8-12'], ['Leg Curl', '5 Minutes', 'Burn'], ['Standing Calf Raise', '3', '10-15'], ['Seated Calf Raise', '5 Minutes', 'Burn']]}, {'title': 'Day 5 - Shoulders, Traps, and Forearms', 'content': [[], ['Seated Barbell Press', '3', '6-10'], ['Seated Arnold Press', '3', '8-12'], ['Dumbbell Lateral Raise', '3', '10-15'], ['Hammer Strength Press or Smith Press', '5 Minutes', 'Burn'], ['Upright Row', '3', '8-12'], ['Barbell Shrug or Dumbbell Shrug', '5 Minutes', 'Burn'], ['Seated Barbell Wrist Curl', '3', '12-15'], ['Barbell Static Hold', '5 Minutes', 'Burn']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': '100% Whey Protein\nCreatine Monohydrate\nWeight Gainer (Optional)\nPre-Workout (Optional)\nBCAAs (Optional)', 'Workout PDF': 'Download Workout'}"
Upper/Lower 4 Day Bodybuilding Workout,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/upper-lower-4-day-gym-bodybuilding-workout,"[{'title': 'Monday: Upper Body Workout', 'content': [[], ['Bench Press', '3', '6-12'], ['Barbell Row', '3', '6-12'], ['Seated Overhead Dumbbell Press', '3', '8-12'], ['Pec Dec - 3 sec negative', '2', '10-12'], ['V-Bar Lat Pull Down - 3 sec negative', '2', '10-12'], ['Side Lateral Raise', '2', '10-15'], ['Cable Tricep Extensions - 3 sec negative', '3', '8-12'], ['Cable Curls - 3 sec negative', '3', '8-12']]}, {'title': 'Tuesday: Lower Body Workout', 'content': [[], ['Squats', '3', '6-12'], ['Stiff Leg Deadlifts', '3', '8-12'], ['Standing Calf Raise', '3', '10-15'], ['Leg Extensions - 3 sec negative', '2', '10-12'], ['Leg Curl - 3 sec negative', '2', '10-12'], ['Seated Calf Raise - 3 sec negative', '2', '10-12'], ['Cable Crunch - 3 sec negative', '3', '10-12'], ['Cable Pull Through w/Rope', '3', '10-12']]}, {'title': 'Thursday: Upper Body Workout', 'content': [[], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Rack Deadlifts - 3"" to 5"" off ground', '3', '5-8'], ['Military Press', '3', '8-12'], ['Machine Chest Press - 3 sec negative', '2', '8-12'], ['Pull Ups or Machine Rows - 3 sec negative', '2', '8-12'], ['Machine Shoulder Press - 3 sec negative', '2', '8-12'], ['Dumbbell Curls - 3 sec negative', '3', '8-12'], ['Machine Tricep Dip - 3 sec negative', '3', '8-12']]}, {'title': 'Friday: Lower Body Workout', 'content': [[], ['Leg Press', '3', '10-20'], ['Dumbbell Stiff Leg Deadlifts', '3', '8-12'], ['Leg Press Calf Raise', '3', '10-15'], ['Hack Squat', '2', '8-12'], ['Seated Leg Curl - 3 sec negative', '2', '10-12'], ['Seated Calf Raise - 3 sec negative', '2', '10-12'], ['Planks', '3', '60 sec'], ['Hyperextension', '3', '10-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Creatine\nWhey Protein\nPre-Workout (optional)\nMultivitamin Packs', 'Workout PDF': 'Download Workout'}"
M-F Workout Routine: 5 Day Body Part Split Workout,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/m-f-workout-routine,"[{'title': 'Monday: Back Workout', 'content': [[], ['1. Deadlift', '4', '6'], ['2. Lat Pull Down', '4', '8-12'], ['3. Dumbbell Row', '4', '8-12'], ['4. Hammer Strength Machine Row', '4', '10'], ['5. One Arm Cable Row', '3', '12'], ['6. Straight Arm Cable Pull Down', '2', '15']]}, {'title': 'Tuesday: Chest & Abs Workout', 'content': [[], ['1. Incline Bench Press', '4', '6'], ['2. Decline Bench Press', '4', '8-12'], ['3. Machine Bench Press', '3', '6-12'], ['4. Machine Fly', '3', '12-15'], ['5. Push Ups', '3', 'Failure'], ['6. Machine Crunch', '3', '15'], ['7. Hanging Leg Raise', '3', '12-15']]}, {'title': 'Wednesday: Legs Workout', 'content': [[], ['1. Barbell Back Squat', '5', '6'], ['2. Romanian Deadlift', '4', '8-12'], ['3. Leg Press', '3', '10-15'], ['4. Leg Curl', '3', '12-15'], ['5. Walking Lunge', '3', '15 Each'], ['6. Smith Machine Calf Raise', '4', '20']]}, {'title': 'Thursday: Shoulders & Abs Workout', 'content': [[], ['1. Military Press', '4', '6'], ['2. Lateral Raise', '4', '8-12'], ['3. Reverse Machine Fly', '4', '8-12'], ['4. Machine Shoulder Press', '3', '6-10'], ['5. Barbell Shrugs', '4', '15'], ['6. Decline Sit Up', '3', '15'], ['7. Barbell Roll Out', '3', '12']]}, {'title': 'Friday: Arms Workout', 'content': [[], ['1. EZ Bar Curl', '4', '8-12'], ['2. EZ Bar Skullcrusher', '4', '8-12'], ['3. Spider Curl', '4', '8-12'], ['4. Tricep Dip', '4', '8-12'], ['5. Cable Hammer Curl', '4', '8-12'], ['6. Cable Overhead Tricep Extension', '4', '8-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '10 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nCasein Protein\nCreatine Monohydrate\nFish Oil', 'Workout PDF': 'Download Workout'}"
12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/12-week-fat-destroyer,"[{'title': 'Upper A', 'content': [[], ['Incline Bench Press', '3', '8-10'], ['One Arm Dumbbell Row', '3', '10-12'], ['Seated Barbell Press', '3', '8-10'], ['Pull Ups', '3', '10'], ['Skullcrushers', '3', '10-12'], ['Dumbbell Curl', '3', '10-12']]}, {'title': 'Lower A', 'content': [[], ['Squats', '3', '8-10'], ['Leg Curl', '3', '12-15'], ['Leg Extension', '3', '12-15'], ['Leg Press Calf Raise', '3', '15-20'], ['Plank', '3', '60 sec'], ['Twisting Hanging Knee Raise', '3', '20']]}, {'title': 'Upper B', 'content': [[], ['Dumbbell Bench Press', '3', '10'], ['Barbell Row', '3', '8-10'], ['Dumbbell Lateral Raise', '3', '12-15'], ['Lat Pull Down', '3', '10-12'], ['Cable Tricep Extensions', '3', '10-12'], ['EZ Bar Preacher Curl', '3', '10-12']]}, {'title': 'Lower B', 'content': [[], ['Leg Press', '3', '15-20'], ['Stiff Leg Deadlift', '3', '8-10'], ['Walking Dumbbell Lunge', '3', '10'], ['Seated Calf Raise', '3', '15-20'], ['Cable Crunch', '3', '20'], ['Russian Twist', '3', '20']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Fat Burner\nWhey Protein\nBCAA Intra-Workout\nFish Oil (EFAs)\nCreatine Monohydrate', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Workout: 4 Day Upper/Lower Dumbbell Workout Routine,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/dumbbell-only-upper-lower-workout-routine,"[{'title': 'Day 1: Dumbbell Upper Body Workout', 'content': [[], ['1. Bent Over Dumbbell Row', '4', '8-10'], ['2. Dumbbell Bench Press', '4', '8-10'], ['3. Dumbbell Lateral Raise', '3', '8-12'], ['4. Dumbbell Pullover', '3', '8-12'], ['5. Dumbbell Bicep Curl', '2', '8-12'], ['6. Dumbbell Tricep Extension', '2', '8-12'], ['7. Dumbbell Shrug', '2', '12-15']]}, {'title': 'Day 2: Dumbbell Lower Body Workout', 'content': [[], ['1. Goblet Squat', '4', '8-10'], ['2. Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['3. Dumbbell Plie Squat', '3', '8-12'], ['4. Dumbbell Hamstring Curl', '3', '8-12'], ['5. Standing Dumbbell Calf Raise', '3', '8-12'], ['6. Plank', '3', '20 Secs']]}, {'title': 'Day 3: Dumbbell Upper Body Workout', 'content': [[], ['1. One Arm Dumbbell Row', '4', '8-10'], ['2. Dumbbell Shoulder Press', '4', '8-10'], ['3. Incline Dumbbell Bench Press', '3', '8-12'], ['4. Chest Supported Dumbbell Row', '3', '8-12'], ['5. Dumbbell Hammer Curl', '2', '8-12'], ['6. Dumbbell Floor Press', '2', '8-12'], ['7. Seated Dumbbell Shrug', '2', '12-15']]}, {'title': 'Day 4: Dumbbell Lower Body Workout', 'content': [[], ['1. Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['2. Dumbbell Rear Lunge', '4', '8-10'], ['3. Dumbbell Hip Thrust', '4', '8-10'], ['4. Dumbbell Split Squat', '3', '8-12'], ['5. Seated Dumbbell Calf Raise', '3', '8-12'], ['6. Planks', '3', '20 Secs']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Power Hypertrophy Upper Lower (P.H.U.L.) Workout,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/phul-workout,"[{'title': 'Day 1 - Upper Power', 'content': [[], ['Barbell Bench Press', '3-4', '3-5'], ['Incline Dumbbell Bench Press', '3-4', '6-10'], ['Bent Over Row', '3-4', '3-5'], ['Lat Pull Down', '3-4', '6-10'], ['Overhead Press', '2-3', '5-8'], ['Barbell Curl', '2-3', '6-10'], ['Skullcrusher', '2-3', '6-10']]}, {'title': 'Day 2 - Lower Power', 'content': [[], ['Squat', '3-4', '3-5'], ['Deadlift', '3-4', '3-5'], ['Leg Press', '3-5', '10-15'], ['Leg Curl', '3-4', '6-10'], ['Calf Exercise', '4', '6-10']]}, {'title': 'Day 4 - Upper Hypertrophy', 'content': [[], ['Incline Barbell Bench Press', '3-4', '8-12'], ['Flat Bench Dumbbell Flye', '3-4', '8-12'], ['Seated Cable Row', '3-4', '8-12'], ['One Arm Dumbbell Row', '3-4', '8-12'], ['Dumbbell Lateral Raise', '3-4', '8-12'], ['Seated Incline Dumbbell Curl', '3-4', '8-12'], ['Cable Tricep Extension', '3-4', '8-12']]}, {'title': 'Day 5 - Lower Hypertrophy', 'content': [[], ['Front Squat', '3-4', '8-12'], ['Barbell Lunge', '3-4', '8-12'], ['Leg Extension', '3-4', '10-15'], ['Leg Curl', '3-4', '10-15'], ['Seated Calf Raise', '3-4', '8-12'], ['Calf Press', '3-4', '8-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein Powder\nCreatine\nBeta-Alanine\nCitrulline Malate\nPre-Workout (optional)', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Workout: 6 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/men,https://www.muscleandstrength.com/workouts/6-day-dumbbell-only-workout,"[{'title': 'Day 1: Push Dumbbell Workout A', 'content': [[], ['Dumbbell Bench Press', '5', '8-12'], ['Decline Dumbbell Bench Press', '3', '8-12'], ['Dumbbell Floor Press', '3', '8-12'], ['Seated Dumbbell Press', '4', '8-12'], ['Dumbbell Lateral Raise', '3', '8-12'], ['Dumbbell Tricep Overhead Extension', '3', '8-12']]}, {'title': 'Day 2: Pull Dumbbell Workout A', 'content': [[], ['Dumbbell Bent Over Row', '4', '8-12'], ['Chest Supported Dumbbell Row', '4', '8-12'], ['Dumbbell Pull Over', '3', '10-15'], ['Rear Delt Fly', '3', '10-15'], ['Dumbbell Bicep Curl', '3', '12-15'], ['Zottman Curl', '3', '12-15']]}, {'title': 'Day 3: Leg Dumbbell Workout A', 'content': [[], ['Dumbbell Squat', '4', '8-12'], ['Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['Dumbbell Goblet Squat', '4', '8-12'], ['Dumbbell Hip Thrust', '4', '8-12'], ['Dumbbell Calf Raise', '4', '15-20']]}, {'title': 'Day 4: Push Dumbbell Workout B', 'content': [[], ['Dumbbell Incline Bench Press', '5', '8-12'], ['Dumbbell Chest Fly', '3', '8-12'], ['Standing Dumbbell Press', '4', '8-12'], ['Arnold Press', '3', '8-12'], ['Lateral Raise', '3', '8-12'], ['Dumbbell Skullcrusher', '3', '8-12']]}, {'title': 'Day 5: Pull Dumbbell Workout B', 'content': [[], ['One Arm Dumbbell Row', '5', '8-12'], ['Reverse Grip Dumbbell Row', '4', '8-12'], ['Dumbbell Pullover', '4', '8-12'], ['Dumbbell Hammer Curl', '3', '10-15'], ['Reverse Curl', '3', '10-15']]}, {'title': 'Day 6: Leg Dumbbell Workout B', 'content': [[], ['Dumbbell Deadlift', '4', '8-12'], ['Dumbbell Split Squat', '4', '8-12 Each'], ['Dumbbell Goblet Squat', '3', '8-12'], ['Dumbbell Hip Thrust', '3', '10-15'], ['Dumbbell Calf Raise', '4', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
