Workout Title,Category,Routine Link,Tables,Summary
Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,"[{'title': 'Day 1', 'content': [[], ['1. Dumbbell Squat', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. Bent Over Dumbbell Row', '3', '10'], ['4. Dumbbell Bench Press', '3', '10'], ['5. Lateral Raises', '2', '8'], ['6. Standing Dumbbell Curl', '2', '8'], ['7. Lying Dumbbell Extension', '2', '8']]}, {'title': 'Day 2', 'content': [[], ['1. Dumbbell Lunge', '3', '10'], ['2. Dumbbell Hamstring Curl', '3', '10'], ['3. Dumbbell Deadlift', '3', '10'], ['4. Dumbbell Military Press', '3', '10'], ['5. Dumbbell Flys', '2', '8'], ['6. Hammer Curl', '2', '8'], ['7. Seated Dumbbell Extension', '2', '8']]}, {'title': 'Day 3', 'content': [[], ['1. Dumbbell Step Up', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. One Arm Dumbbell Row', '3', '10'], ['4. Reverse Grip Dumbbell Press', '3', '10'], ['5. Dumbbell Rear Delt Fly', '2', '8'], ['6. Zottman Curl', '2', '8'], ['7. Close Grip Dumbbell Press', '2', '8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '25-30 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Muscle & Strength Full Body Workout Routine,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/muscle-strength-full-body-workout-routine,"[{'title': 'Workout A', 'content': [[], ['Squats (Ramped)', '5', '5'], ['Bench Press (Ramped)', '5', '5'], ['Barbell Row (Ramped)', '5', '5'], ['Upright Row', '3', '10'], ['Skullcrushers', '3', '10'], ['Dumbbell Curls', '3', '10'], ['Leg Curls', '3', '12-15'], ['Ab Wheel Roll Out', '3', '10-15']]}, {'title': 'Workout B', 'content': [[], ['Deadlifts (Ramped)', '3', '5'], ['Romanian Deadlift', '2', '8-12'], ['Seated Overhead Press', '3', '8-10'], ['Pull Ups or Inverted Rows', '3', '10-15'], ['Dips', '3', '10-20'], ['Barbell Shrugs', '3', '10'], ['Standing or Seated Calf Raise', '3', '12-15'], ['Plank', '3', '60 seconds']]}, {'title': 'Workout C', 'content': [[], ['Squats (Ramped)', '3', '5'], ['Squats', '1', '20'], ['Incline Dumbbell Bench Press', '3', '10'], ['One Arm Dumbbell Row', '3', '10-15'], ['Seated Arnold Press', '3', '10-15'], ['Cable Tricep Extensions', '3', '10'], ['Barbell Curls', '3', '10'], ['Leg Curls', '3', '12-15'], ['Ab Wheel Roll Out', '3', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Multivitamin\nPre-Workout\nCreatine\nWhey Protein\nCasein Protein', 'Workout PDF': 'Download Workout'}"
The Total Package: A 3 Day Full Body Strength & Hypertrophy Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/total-package-workout,"[{'title': 'Day 1', 'content': [[], ['1. Squat', '5', '5'], ['2. Dumbbell Bench', '4', '10'], ['3. Dumbbell Row', '4', '10'], ['4. Seated Dumbbell Press', '4', '10'], ['5. Lunge', '4', '10'], ['6. Dumbbell Curl', '3', '10'], ['7. Standing Barbell Tricep Extension', '3', '10'], ['8. Calf Raise', '3', '12'], ['9. Plank', '5', '20 secs']]}, {'title': 'Day 2', 'content': [[], ['1. Bench Press', '5', '5'], ['2. Machine Pec Deck', '3', '12'], ['3. Leg Extension', '4', '10'], ['4. Leg Curl', '4', '10'], ['5. Pullup', '4', '10'], ['6. Seated Lateral Raise', '4', '10'], ['7. Dumbbell Hammer Curls', '3', '10'], ['8. Rope Extension', '3', '10'], ['9. Plank', '5', '20 secs']]}, {'title': 'Day 3', 'content': [[], ['1. Deadlift', '5', '5'], ['2. Incline Dumbbell Press', '4', '10'], ['3. Lateral Raise', '4', '10'], ['4. Pulldown', '4', '10'], ['5. Leg Press', '4', '10'], ['6. EZ Bar Curl', '3', '10'], ['7. Skullcrushers', '3', '10'], ['8. Dumbbell Shrugs', '3', '12'], ['9. Plank', '5', '20 secs']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '75-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nCreatine\nCarbs\nZMA\nBeta-Alanine', 'Workout PDF': 'Download Workout'}"
The Best Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/best-full-body-workout-routine-for-women,"[{'title': 'Women’s Full Body Workout 1', 'content': [[], ['Squat', '4', '6-8'], ['Leg Press', '3', '10-15'], ['Rear Foot Elevated Split Squat', '3', '8-12 Each'], ['Overhead Press', '4', '8'], ['One Arm Dumbbell Row', '4', '6-8'], ['Lat Pull Down', '3', '8-12']]}, {'title': 'Women’s Full Body Workout 1', 'content': [[], ['Hyperextension', '3', '15-20'], ['Single Leg Glute Bridge', '3', '10-15 Each'], ['Mini Band Hip Thruster', '3', '15']]}, {'title': 'Women’s Full Body Workout 2', 'content': [[], ['Goblet Squat', '3', '12-15'], ['Dumbbell Stiff Legged Deadlift', '3', '10-12'], ['Lateral Lunge', '3', '12 Each'], ['Dumbbell Bench Press', '3', '8-10'], ['(Assisted) Pull Up', '3', 'Max'], ['Inverted Row', '3', 'Max']]}, {'title': 'Women’s Full Body Workout 2', 'content': [[], ['Dumbbell Curl', '3', '12'], ['Rope Pressdown', '3', '12'], ['EZ Bar Curl', '3', '12'], ['EZ Bar Overhead Extension', '3', '12']]}, {'title': 'Women’s Full Body Workout 3', 'content': [[], ['Sumo Deadlift', '4', '6-8'], ['Hip Thrust', '4', '6-8'], ['Barbell Row', '4', '6-8'], ['Seated Dumbbell Press', '3', '8-12'], ['Lateral Raise', '3', '10-12'], ['Push Up', '3', 'Max']]}, {'title': 'Women’s Full Body Workout 3', 'content': [[], ['Plank', '3', 'Max Time'], ['Exercise Ball Crunch', '3', '20'], ['Hanging Leg Raise', '3', '12-15']]}, {'title': 'Women’s Full Body Workout 4', 'content': [[], ['Plie Squat', '3', '12-15'], ['Dumbbell Rear Lunge', '3', '12-15'], ['Landmine Romanian Deadlift', '3', '12-15'], ['T-Bar Row', '4', '8-12'], ['Incline Dumbbell Bench Press', '3', '12-15'], ['Cable Face Pull', '3', '15-20']]}, {'title': 'Women’s Full Body Workout 4', 'content': [[], ['Frog Pumps', '3', '20-25'], ['Glute Kick Back', '3', '15 Each'], ['Adduction Machine (or Banded)', '3', '12'], ['Abduction Machine (or Banded)', '3', '12']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Bands, Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines', 'Target Gender': 'Female', 'Recommended Supps': 'Protein Powder\nmulti-vitamin\nPreWorkout', 'Workout PDF': 'Download Workout'}"
3 Day Full Body Planet Fitness Workout (Machines & Dumbbells Only),https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/3-day-full-body-planet-fitness-workout,"[{'title': 'Planet Fitness Full Body Workout Day 1', 'content': [[], ['1. Goblet Squat', '4', '8-12'], ['2. Lying Leg Curl', '3', '10-15'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Dumbbell Row', '4', '8-12'], ['5. Lat Pull Down', '3', '10-15'], ['6. Incline Dumbbell Bench Press', '4', '8-12'], ['7. Lateral Raise', '3', '10-15']]}, {'title': 'Planet Fitness Full Body Workout Day 2', 'content': [[], ['1. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['2. Leg Extension', '3', '10-15'], ['3. Assisted Pull Up Machine', '4', '8-12'], ['4. Seated Cable Row', '3', '10-15'], ['5. Seated Dumbbell Press', '4', '8-12'], ['6. Dumbbell Bench Press', '3', '10-15'], ['7. Skullcrusher', '3', '8-12'], ['8. Dumbbell Curl', '3', '8-12']]}, {'title': 'Planet Fitness Full Body Workout Day 3', 'content': [[], ['1. Leg Press', '4', '8-12'], ['2. Walking Lunge', '3', '10-15 Each'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Smith Machine Row', '4', '8-12'], ['5. Cable Face Pull', '3', '10-15'], ['6. Push Up', '3', '10-15'], ['7. Close Grip Push Up', '3', '8-12'], ['8. Cable Curl', '3', '8-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMulti Vitamin\nFish Oil\nCreatine Monohydrate\nProtein Bars', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Home Or Gym Full Body Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/dumbbell-only-home-or-gym-fullbody-workout.html,"[{'title': 'Monday - Full Body', 'content': [[], ['Dumbbell Squat', '3', '6-12'], ['Dumbbell Bench Press', '3', '6-12'], ['One Arm Dumbbell Row', '3', '6-12'], ['Standing Dumbbell Curl', '3', '6-12'], ['Two Arm Seated Dumbbell Extension', '3', '6-12'], ['Sit Up', '3', '10-25']]}, {'title': 'Wednesday - Full Body', 'content': [[], ['Dumbbell Step Up', '3', '6-12'], ['Dumbbell Stiff Leg Deadlift', '3', '6-12'], ['Seated Dumbbell Press', '3', '6-12'], ['Standing One Leg Dumbbell Calf Raise', '3', '10-20'], ['Dumbbell Shrug', '3', '10-15'], ['Dumbbell Side Bends', '3', '10-15']]}, {'title': 'Friday - Full Body', 'content': [[], ['Dumbbell Lunge', '3', '6-12'], ['Dumbbell Floor Press', '3', '6-12'], ['Wide Grip Pull Up', '3', '6-12'], ['Standing Hammer Curl', '3', '6-12'], ['Lying Dumbbell Extension', '3', '6-12'], ['Lying Floor Leg Raise', '3', '10-25']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male', 'Recommended Supps': '100% Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
3 Day Full Body Toning Workout for Women,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,"[{'title': 'Full Body Toning Workout 1', 'content': [[], ['45 Degree Leg Press', '3', '20'], ['Seated Row', '3', '20'], ['Chest Dip', '2', '15-20'], ['Machine Shoulder Press', '2', '20'], ['Cable Curl', '2', '20'], ['Tricep Extension', '2', '20'], ['Plank', '3', '1 minute']]}, {'title': 'Full Body Toning Workout 2', 'content': [[], ['Smith Machine Squat', '3', '20'], ['Seated calf Raise', '2', '25'], ['Lat Pull Down', '3', '20'], ['Dumbbell Flys', '3', '20'], ['Tricep Kickback', '2', '20'], ['Standing Dumbbell Curl', '2', '20'], ['Decline Sit Ups', '2', 'MAX']]}, {'title': 'Full Body Toning Workout 3', 'content': [[], ['Dumbbell Lunge', '4', '10 each leg'], ['Wide Grip Pull Up', '3', 'MAX'], ['Barbell Bench Press', '3', '15-20'], ['Standing Barbell Curl', '3', '15-20'], ['Tricep Bench Dip', '3', '15'], ['Horizontal Leg Raise', '2', 'MAX']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Intermediate', 'Program Duration': '4 weeks', 'Days Per Week': '3', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
"6 Week Navy Seal Workout Routine: Speed, Strength & Endurance",https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/6-week-navy-seal-workout-routine,"[{'title': 'A Few Notes before You Begin', 'content': [[], ['Monday', 'Day 1 - Speed and Agility'], ['Tuesday', 'Day 2 - Power'], ['Wednesday', 'Off'], ['Thursday', 'Day 3 - Strength'], ['Friday', 'Day 4 - Hypertrophy & Muscular Endurance'], ['Saturday', 'Day 5 - Optional Full Body Conditioning'], ['Sunday', 'Off']]}, {'title': 'Dynamic Warm-Up', 'content': [[], ['Push-Ups', '20'], ['Deep Bodyweight Squats', '20'], ['Lying Ab Windshield Wipers', '10 (each side)'], ['Walking Lunges (long stride)', '20 paces'], ['Inverted Rows', '10'], ['Jump Squats', '10'], ['Side Lunges', '10 (each side)']]}, {'title': 'Day 1: Speed and Agility', 'content': [[], ['Sprints (at least 20 yards)', '3 minute jog', '5 rounds all-out effort', '120'], ['Timed shuttle run (at least 10 yards)', '-', '5 rounds all-out effort', '60 to 120'], ['Superset: Reverse Grip Chin-Up & Flat Bench Barbell Press', '1x12', '3x8-12', '60 after each superset'], ['Superset: Dumbbell Shrug & Hyperextension', '-', '3x8-12', '60 after each superset'], ['Superset: Floor Crunch & Bent-Knee Hanging Leg Raise', '-', '3x15-20', 'No Rest'], ['3-5 mile Jog at a Steady Pace', '-', '-', '-']]}, {'title': 'Day 2: Power', 'content': [[], ['Jump Squats or Box Jumps', '1x10', '4x10', '30'], ['Barbell Clean and Press', '2x12-15', '3x5-8', '60'], ['Plyo (hand clap) Push-Up', '1x10', '3x5-8', '30'], ['Explosive Single Arm Dumbbell or Kettlebell Flat Bench Press', '-', '3x5-8', '60'], ['Explosive Bent-Over Dumbbell Row', '1x12', '3x5-8', '60'], ['3-Way Plank: alternate from side, middle to other side without rest (10sec each)', '-', '1 set alternating every 10 seconds for 1 to 2 minutes', '-'], ['Sprint Intervals: total of 8 sprints with one minute rests', '-', '-', '-']]}, {'title': 'Day 3: Strength', 'content': [[], ['Barbell Floor Deadlift or Barbell Back Squat', '3x8-12', '4x5', '120'], ['Seated Leg Curl or Romanian Deadlift', '1x12', '4x5', '120'], ['Superset: Inverted or TRX Row & Plyo Push-Up', '-', '3x10-15', '60 after each superset'], ['Superset: Incline Bench Dumbbell Press & Wide-Grip Pull-Up', '2x12', '4x5-8', '60 after each superset'], ['Superset: Hanging Leg Raise & Planks', '-', '3x15-20 & 20-30 sec for planks', 'No rest'], ['3-5 mile Jog at a steady pace', '-', '-', '-']]}, {'title': 'Day 4: Hypertrophy & Muscular Endurance', 'content': [[], ['Superset: Standing Barbell Shoulder Push Press & Rear Delt Rope Pull', '2x12', '4x10-15', 'No rest'], ['Bulgarian Split Squat', '2x12', '4x10 each leg', '30'], ['Superset: Standing Barbell or TRX Curl & Parallel Bar Triceps Dips', '1x12', '4x10-15', 'No rest'], ['Superset: Feet-Elevated Push-Up & Single Leg Calf Raise', '-', '3x10-15', 'No rest'], ['Superset: Incline 3-Way Sit-Up & Lying Leg Raise', '-', '3x15-20', 'No rest'], [""Sled Pull or Drag or Farmer's Walk"", '-', '3 lengths', '60']]}, {'title': 'Day 5: Optional Full Body Conditioning', 'content': [[], ['Push-Up', '20'], ['Prisoner Squat', '20'], ['Pull-Up', '10'], ['Walking Lunge', '10 each leg'], ['Triceps Bench or Parallel Bar Dip', '10'], ['Short Sprint', 'Varied lengths'], ['Ab Crunch', '20'], ['*End with 3-5 mile jog at a steady pace']]}]","{'Main Goal': 'General Fitness', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Foam Roll', 'Target Gender': 'Male & Female', 'Recommended Supps': 'NitroTech\nNitroTech Crunch Bar\nPlatinum Fish Oil\nVapor (Optional)', 'Workout PDF': 'Download Workout'}"
8 Week Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/8-week-full-body-womens-workout-routine,"[{'title': 'Monday', 'content': [[], ['1. Goblet Squat', '3', '10, 10, 12'], ['2. Dumbbell Bench Press', '3', '10, 10, 12'], ['3. Cable Row', '3', '10, 10, 12'], ['4. Dumbbell Stiff Leg Deadlift', '3', '10, 10, 12'], ['5. Hip Thrust', '3', '10, 10, 12']]}, {'title': 'Wednesday', 'content': [[], ['1. Trap Bar Deadlift', '3', '10, 10, 12'], ['2. Dips*', '3', '10, 10, 12'], ['3. Pull Ups*', '3', '10, 10, 12'], ['4. Landmine Squat', '3', '10, 10, 12'], ['5. Plank', '3', '20 Secs']]}, {'title': 'Friday', 'content': [[], ['1. Dumbbell Shoulder Press', '3', '10, 10, 12'], ['2. Lat Pull Down', '3', '10, 10, 12'], ['3. Push Up', '3', '10, 10, 12'], ['4. Barbell Lunge', '3', '10, 10, 12'], ['5. Hyperextension', '3', '10, 10, 12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Female', 'Recommended Supps': ""Whey Protein Isolate\nWomen's Multi\nFish Oil\nFat Burner (optional)"", 'Workout PDF': 'Download Workout'}"
Full Body Bodyweight Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html,"[{'title': 'Full Body Bodyweight Workout', 'content': [[], ['Jump Squat', '3', '10-15'], ['Push Up', '3', '15-20'], ['Pull Up', '3', '10-15'], ['Walking Lunge (Reps are for each leg)', '3', '10-15'], ['Dips', '3', '10-15'], ['Inverted Pull Ups', '3', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '1', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
