Workout Title,Category,Routine Link,Tables,Summary
Muscle & Strength’s 12 Week Women’s Workout Program,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-workout,"[{'title': 'Monday - Legs & Glutes', 'content': [[], ['1. Squat', '3-4', '6-12'], ['2. Dumbbell Lunge', '2-3', '12-15'], ['3. Dumbbell Step Up', '2-3', '12-15'], ['4. Barbell Hip Thrust', '3', '6-12'], ['5. Glute Cable Kickback', '2-3', '12-15']]}, {'title': 'Tuesday - Back & Arms', 'content': [[], ['1. Pull Downs', '3-4', '6-12'], ['2. One Arm Dumbbell Row', '2-3', '12-15'], ['3. Seated Cable Row', '2-3', '12-15'], ['4a. Dumbbell Curl', '3', '12'], ['4b. Tricep Overhead Extension', '3', '12'], ['5a. Cable Curl', '3', '15'], ['5b. Cable Pressdown', '3', '15']]}, {'title': 'Wednesday - Legs & Glutes', 'content': [[], ['1. Goblet Squat', '3-4', '6-12'], ['2. Romanian Deadlift', '2-3', '12-15'], ['3. Dumbbell Stiff Leg Deadlift', '2-3', '12-15'], ['4. Smith Machine Sumo Squats (Glute Focus)', '3', '6-12'], ['5. Glute Kick Back', '3', '15']]}, {'title': 'Thursday - Chest & Shoulders', 'content': [[], ['1. Dumbbell Bench Press', '3-4', '6-12'], ['2. Incline Dumbbell Press', '2-3', '12-15'], ['3. Machine Chest Fly', '2-3', '12-15'], ['4. Seated Dumbbell Press', '3-4', '6-12'], ['5. Lateral Raise', '2-3', '12-15']]}, {'title': 'Friday - Legs & Arms', 'content': [[], ['1. Deadlifts', '3-4', '6-12'], ['2. Good Mornings', '2-3', '12-15'], ['3. Leg Extensions', '2-3', '12-15'], ['4. Incline Dumbbell Curl', '3', '12'], ['5. Incline Skullcrusher', '3', '12']]}, {'title': 'Ab Workout (Optional)', 'content': [[], ['1. Plank', '3', '20 sec holds'], ['2. Lying Floor Leg Raise', '3', '10'], ['3. Crunches', '3', '20'], ['4. Side Crunches', '2', '15 each side']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Female', 'Recommended Supps': ""Whey Protein Isolate\nWomen's Multi\nFish Oil\nFat Burner (optional)"", 'Workout PDF': 'Download Workout'}"
The Best Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/best-full-body-workout-routine-for-women,"[{'title': 'Women’s Full Body Workout 1', 'content': [[], ['Squat', '4', '6-8'], ['Leg Press', '3', '10-15'], ['Rear Foot Elevated Split Squat', '3', '8-12 Each'], ['Overhead Press', '4', '8'], ['One Arm Dumbbell Row', '4', '6-8'], ['Lat Pull Down', '3', '8-12']]}, {'title': 'Women’s Full Body Workout 1', 'content': [[], ['Hyperextension', '3', '15-20'], ['Single Leg Glute Bridge', '3', '10-15 Each'], ['Mini Band Hip Thruster', '3', '15']]}, {'title': 'Women’s Full Body Workout 2', 'content': [[], ['Goblet Squat', '3', '12-15'], ['Dumbbell Stiff Legged Deadlift', '3', '10-12'], ['Lateral Lunge', '3', '12 Each'], ['Dumbbell Bench Press', '3', '8-10'], ['(Assisted) Pull Up', '3', 'Max'], ['Inverted Row', '3', 'Max']]}, {'title': 'Women’s Full Body Workout 2', 'content': [[], ['Dumbbell Curl', '3', '12'], ['Rope Pressdown', '3', '12'], ['EZ Bar Curl', '3', '12'], ['EZ Bar Overhead Extension', '3', '12']]}, {'title': 'Women’s Full Body Workout 3', 'content': [[], ['Sumo Deadlift', '4', '6-8'], ['Hip Thrust', '4', '6-8'], ['Barbell Row', '4', '6-8'], ['Seated Dumbbell Press', '3', '8-12'], ['Lateral Raise', '3', '10-12'], ['Push Up', '3', 'Max']]}, {'title': 'Women’s Full Body Workout 3', 'content': [[], ['Plank', '3', 'Max Time'], ['Exercise Ball Crunch', '3', '20'], ['Hanging Leg Raise', '3', '12-15']]}, {'title': 'Women’s Full Body Workout 4', 'content': [[], ['Plie Squat', '3', '12-15'], ['Dumbbell Rear Lunge', '3', '12-15'], ['Landmine Romanian Deadlift', '3', '12-15'], ['T-Bar Row', '4', '8-12'], ['Incline Dumbbell Bench Press', '3', '12-15'], ['Cable Face Pull', '3', '15-20']]}, {'title': 'Women’s Full Body Workout 4', 'content': [[], ['Frog Pumps', '3', '20-25'], ['Glute Kick Back', '3', '15 Each'], ['Adduction Machine (or Banded)', '3', '12'], ['Abduction Machine (or Banded)', '3', '12']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Bands, Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Exercise Ball, Machines', 'Target Gender': 'Female', 'Recommended Supps': 'Protein Powder\nmulti-vitamin\nPreWorkout', 'Workout PDF': 'Download Workout'}"
Muscle & Strength’s 10 Week Women’s Fat Loss Workout,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout,"[{'title': 'Day 1: Upper Body Focus', 'content': [[], ['1. Pull Down', '3', '12'], ['2. Dumbbell Incline Bench Press', '3', '12'], ['3. Cable Lateral Raise', '3', '15'], ['4. Seated Cable Row', '3', '12'], ['5. Dumbbell Curls', '2', '12'], ['6. Tricep Overhead Extension', '2', '12'], ['7. Machine Curl', '2', '12'], ['8. Rope Pressdown', '2', '12']]}, {'title': 'Day 2: Lower Body Focus', 'content': [[], ['1. Barbell Squat', '3', '12'], ['2. Romanian Deadlift', '4', '10'], ['3. Walking Lunge', '3', '15 Each'], ['4. Bodyweight Curtsey Lunge', '3', '12 Each'], ['5. Glute Kick Back', '3', '15 Each']]}, {'title': 'Day 3: Cardio, Abs, & Glutes', 'content': [[], ['Plank', '3', '30 Secs'], ['Bodyweight Glute Bridge', '3', '15'], ['Ab Crunch', '3', '20'], ['Glute Kick Back', '3', '12'], ['Mountain Climbers', '3', '12 Each'], ['Side Lying Clams', '3', '12 Each'], ['Oblique Crunch', '3', '12 Each']]}, {'title': 'Day 4: Upper Body Focused', 'content': [[], ['1. Dumbbell Row', '4', '12'], ['2. Seated Shoulder Press', '3', '12'], ['3. Cable Face Pull', '3', '12'], ['4. Dumbbell Bench Press', '3', '12'], ['5. Close Grip Pull Down', '3', '15'], ['6. Seated Curls', '3', '12'], ['7. Lying Tricep Extensions', '3', '12']]}, {'title': 'Day 5: Lower Body Focus', 'content': [[], ['1. Reverse Hack Squats', '3', '12'], ['2. Leg Press', '3', '12'], ['3. Leg Extension', '3', '15'], ['4. Leg Curls', '3', '15'], ['5. Standing Calf Raises', '3', '25']]}, {'title': 'Weekends: Cardio, Abs, & Glutes', 'content': [[], ['Plank', '3', '30 Secs'], ['Bodyweight Glute Bridge', '3', '15'], ['Ab Crunch', '3', '20'], ['Glute Kick Back', '3', '12'], ['Mountain Climbers', '3', '12 Each'], ['Side Lying Clams', '3', '12 Each'], ['Oblique Crunch', '3', '12 Each']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '10 weeks', 'Days Per Week': '7', 'Time Per Workout': '60-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Female', 'Recommended Supps': ""Whey Protein Isolate\nWomen's Multi\nFish Oil\nFat Burner (optional)"", 'Workout PDF': 'Download Workout'}"
10 Week Upper/Lower Workout Program for Women,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/10-week-upper-lower-workout-for-women,"[{'title': 'Monday: Upper (Strength Focused)', 'content': [[], ['1. Dumbbell Bench Press', '4', '6'], ['2. Dumbbell Row', '4', '6'], ['3. Standing Overhead Press', '4', '6'], ['4. Chin Up', '4', '6'], ['5. Plank', '4', '20 Secs'], ['6. Hyperextensions (glute focused)', '3', '12-15']]}, {'title': 'Tuesday: Lower (Strength Focused)', 'content': [[], ['1. Barbell Squat', '4', '6'], ['2. Deadlift', '4', '6'], ['3. Reverse Lunges', '4', '6'], ['4. Leg Press', '4', '6'], ['5. Barbell Hip Thrust', '4', '6']]}, {'title': 'Thursday: Upper (Hypertrophy Focused)', 'content': [[], ['1. Incline Dumbbell Bench Press', '3', '12'], ['2. Seated Cable Row', '3', '12'], ['3. Seated Dumbbell Press', '3', '12'], ['4. Lat Pull Down', '3', '12'], ['5. Dumbbell Bicep Curl', '2', '12'], ['6. Tricep Extensions', '2', '12'], ['7. Single Leg Bodyweight Glute Bridge', '3', '12-15 Each']]}, {'title': 'Friday: Lower (Hypertrophy Focused)', 'content': [[], ['1. Goblet Squat', '3', '12'], ['2. Romanian Deadlift', '3', '12'], ['3. Bulgarian Split Squat', '3', '12 Each'], ['4. Hack Squat', '3', '12'], ['5. Barbell Glute Bridge', '3', '12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Female', 'Recommended Supps': ""Protein Powder\nCreatine Monohydrate\nWomen's Multi\nFish Oil\nPre-Workout (optional)"", 'Workout PDF': 'Download Workout'}"
"12 Week Push, Pull, Legs Workout for Women",https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/12-week-push-pull-legs-for-women,"[{'title': 'Monday: Push Workout for Women', 'content': [[], ['Dumbbell Shoulder Press', '3', '8'], ['Shoulder Machine Press', '3', '8'], ['Dumbbell Bench Press', '3', '8'], ['Incline Bench Press Machine', '3', '8'], ['Eccentric Only Dips', '3', '8']]}, {'title': 'Tuesday: Pull Workout for Women', 'content': [[], ['Bent Over Dumbbell Row', '3', '8'], ['Seated Cable Row', '3', '8'], ['Lat Pull Down', '3', '8'], ['Underhand Lat Pull Down', '3', '8'], ['Dumbbell Curl', '3', '8'], ['Ab Crunch', '3', '20'], ['Ab Bicycle', '3', '20 Each']]}, {'title': 'Wednesday: Legs Workout for Women', 'content': [[], ['Squat', '3', '8'], ['Romanian Deadlift', '3', '8'], ['Hip Thrust', '3', '8'], ['One Leg Leg Press', '3', '8'], ['Leg Press Calf Raise', '3', '12'], ['Seated Calf Raise', '3', '12']]}, {'title': 'Friday: Push Workout for Women', 'content': [[], ['Lateral Raise', '3', '12-15'], ['Weight Plate Front Raise', '3', '12-15'], ['Incline Dumbbell Press', '3', '12-15'], ['Pec Deck', '3', '12-15'], ['Rope Press Down', '3', '12-15'], ['Skullcrusher', '3', '12-15'], ['Hanging Leg Raise', '3', '12'], ['Plank', '3', '1 Min']]}, {'title': 'Saturday: Pull Workout for Women', 'content': [[], ['Machine Row', '3', '12-15'], ['One Arm Dumbbell Row', '3', '12-15 Each'], ['Cable Face Pull', '3', '15-20'], ['V-Bar Pull Down', '3', '12-15'], ['Shotgun Row', '3', '12-15'], ['Cable Curl', '3', '12-15'], ['Preacher Curl', '3', '12-15']]}, {'title': 'Sunday: Legs Workout for Women', 'content': [[], ['Leg Press', '3', '12-15'], ['Goblet Squat', '3', '12-15'], ['Dumbbell Stiff Legged Deadlift', '3', '12-15'], ['Leg Curl', '3', '12-15'], ['Hyperextension', '3', '12-15'], ['Bodyweight Glute Bridge', '3', '15'], ['Standing Calf Raise', '3', '15-20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Female', 'Recommended Supps': 'Protein Powder\nPreWorkout\nMultiVitamin', 'Workout PDF': 'Download Workout'}"
4 Day Upper/Lower Women's Dumbbell Only Workout,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/upper-lower-womens-dumbbell-only-workout,"[{'title': 'Upper Body Workout', 'content': [[], ['Dumbbell Floor Press', '3', '12-15', '60s'], ['Dumbbell Floor Fly', '3', '12-15', '60s'], ['Dumbbell Row', '3', '12-15', '60s'], ['Dumbbell Pullover', '3', '12-15', '60s'], ['Lateral Raise', '3', '12-15', '60s'], ['Dumbbell Curl', '3', '15', '60s'], ['Lying Triceps Extension', '3', '15', '60s']]}, {'title': 'Lower Body and Abs/Core', 'content': [[], ['Walking Lunge', '3', '12-15 each leg', '60s'], ['Goblet Squat', '3', '12-15', '60s'], ['Stiff-Leg Deadlift', '3', '12-15', '60s'], ['Dumbbell Leg Curl', '3', '12-15', '60s'], ['Seated Dumbbell Calf Raise', '3', '15', '60s'], ['Standing Calf Raise', '3', '15 each leg', '60s'], ['Weighted Crunch', '3', '15', '60s'], ['Weighted Knee-Ins', '3', '15', '60s']]}, {'title': 'Upper Body Circuit', 'content': [[], ['Dumbbell Floor Press', '12-15'], ['Dumbbell Floor Fly', '12-15'], ['Dumbbell Row', '12-15'], ['Dumbbell Pullover', '12-15'], ['Lateral Raise', '12-15'], ['Dumbbell Curl', '15'], ['Lying Triceps Extension', '15']]}, {'title': 'Lower Body Circuit', 'content': [[], ['Walking Lunge', '12-15 each leg'], ['Goblet Squat', '12-15'], ['Stiff-Legged Deadlift', '12-15'], ['Dumbbell Leg Curl', '12-15'], ['Seated Dumbbell Calf Raise', '15'], ['Standing Calf Raise', '15 each leg'], ['Weighted Crunch', '15'], ['Weighted Knee-Ins', '15']]}, {'title': 'Lower Body Circuit', 'content': [[], ['Dumbbell Floor Press', '20'], ['Dumbbell Row', '20'], ['Goblet Squat', '20'], ['Stiff-Legged Deadlift', '20'], ['Weighted Crunch', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '4', 'Time Per Workout': '20-60 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Female', 'Recommended Supps': 'Whey Protein\nMultivitamin\nFish Oil\nPre-Workout (optional)', 'Workout PDF': 'Download Workout'}"
3 Day Full Body Toning Workout for Women,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,"[{'title': 'Full Body Toning Workout 1', 'content': [[], ['45 Degree Leg Press', '3', '20'], ['Seated Row', '3', '20'], ['Chest Dip', '2', '15-20'], ['Machine Shoulder Press', '2', '20'], ['Cable Curl', '2', '20'], ['Tricep Extension', '2', '20'], ['Plank', '3', '1 minute']]}, {'title': 'Full Body Toning Workout 2', 'content': [[], ['Smith Machine Squat', '3', '20'], ['Seated calf Raise', '2', '25'], ['Lat Pull Down', '3', '20'], ['Dumbbell Flys', '3', '20'], ['Tricep Kickback', '2', '20'], ['Standing Dumbbell Curl', '2', '20'], ['Decline Sit Ups', '2', 'MAX']]}, {'title': 'Full Body Toning Workout 3', 'content': [[], ['Dumbbell Lunge', '4', '10 each leg'], ['Wide Grip Pull Up', '3', 'MAX'], ['Barbell Bench Press', '3', '15-20'], ['Standing Barbell Curl', '3', '15-20'], ['Tricep Bench Dip', '3', '15'], ['Horizontal Leg Raise', '2', 'MAX']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Intermediate', 'Program Duration': '4 weeks', 'Days Per Week': '3', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Summer Burn: 12 Week Fat Melting Workout,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/summer-burn-12-week-fat-melting-workout,"[{'title': 'Monday: Chest, Biceps, Forearms, & Abs', 'content': [[], ['1. Incline Bench Press', '2/0/1', '2*', '7-9'], ['2. Dumbbell Bench Press', '2/0/1', '2*', '7-9'], ['3a. Incline Dumbbell Fly', '2/0/1', '2', '10-12'], ['3b. Cable Crossover', '1/0/1/1', '2', '10-12'], ['4. EZ Bar Preacher Curl', '2/0/1', '1*', '7-9'], ['5. Barbell Curl', '2/0/1', '1*', '7-9'], ['6a. High Cable Curl', '1/0/1', '2', '7-9'], ['6b. Standing Alternating Dumbbell Curl', '1/1/1', '2', '7-9'], ['7. Reverse Barbell Curl', '2/0/1', '1*', '10-12'], ['8a. Barbell Reverse Wrist Curl', '1/0/1', '1', '13-15'], ['8b. Barbell Wrist Curl', '1/0/1', '1', '13-15'], ['9. Cable Crunch', '1/0/1/1', '2', '16-20'], ['10a. Hanging Leg Raise', '1/0/1', '1', 'Max Reps'], ['10b. Seated Bench Knee Ups', '1/0/1', '1', 'Max Reps']]}, {'title': 'Tuesday: Quads, Hamstrings, & Calves', 'content': [[], ['1. Barbell Back Squat', '2/0/1', '2*', '7-9'], ['2. Leg Press', '2/0/1', '2*', '7-9'], ['3a. Leg Extension', '2/0/1/1', '2', '10-12'], ['3b. Walking Barbell Lunge', '2/0/1', '2', '10-12 Each'], ['4. Lying Leg Curl', '2/0/1/1', '2*', '7-9'], ['5a. Adduction Machine', '1/0/1/1', '2', '16-20'], ['5b. Stiff Leg Deadlift', '2/0/1', '2', '10-12'], ['6. Standing Calf Raise', '1/1/1/1', '1*', '7-9'], ['7a. Seated Calf Raise', '1/0/1/1', '2', '7-9'], ['7b. Calf Press', '1/1/1', '2', '10-12']]}, {'title': 'Thursday: Lats, Lower Back, & Abs', 'content': [[], ['1. Seated Cable Row', '1/0/1/1', '2*', '7-9'], ['2. Reverse Grip Bent Over Row', '1/0/1/1', '2*', '7-9'], ['3a. Dumbbell Pullover', '1/0/1', '2', '10-12'], ['3b. T-Bar Row', '1/0/1', '2', '7-9'], ['4. Weighted Hyperextension', '1/0/1/1', '1*', '13-15'], ['5a. Deadlift', '1/1/1', '1', '7-9'], ['5b. Bodyweight Hyperextensions', '1/0/1/1', '1', 'Max Reps'], ['6. Weighted Ab Crunch', '1/0/1/1', '1*', '16-20'], ['7a. Lying Leg Raise', '1/0/1/1', '2', 'Max Reps'], ['7b. Oblique Crunch', '1/0/1', '2', '16-20 Each']]}, {'title': 'Friday: Shoulders, Traps, Triceps, & Calves', 'content': [[], ['1. Cable Face Pulls', '1/0/1/1', '2*', '10-12'], ['2. Lateral Raises', '1/0/1', '2*', '10-12'], ['3a. Seated Dumbbell Press', '2/0/1', '2', '7-9'], ['3b. Barbell Front Raise', '1/0/1', '2', '7-9'], ['4. Barbell Shrug', '1/0/1/1', '2*', '10-12'], ['5a. Upright Row', '1/0/1/1', '2', '7-9'], ['5b. Seated Dumbbell Shrug', '1/0/1/1', '2', '7-9'], ['6. Straight Bar Pushdown', '1/0/1/1', '1*', '10-12'], ['7. Skullcrusher', '2/0/1', '2*', '7-9'], ['8a. Seated One Arm Dumbbell Extrension', '2/0/1', '2', '7-9'], ['8b. Close Grip Bench Press', '3/0/1', '2', '7-9'], ['9. Seated Calf Raise', '1/0/1', '2*', '10-12'], ['10a. Calf Press', '1/0/1/1', '1', '7-9'], ['10b. Standing Calf Raise', '1/0/1/1', '1', '7-9']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'ISOFLEX\nAminoCuts\nRapidCuts\nImpact Igniter\nVitaStack', 'Workout PDF': 'Download Workout'}"
5 Day Women’s Dumbbell Only Workout,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/5-day-womens-dumbbell-only-workout,"[{'title': 'Day 1: Chest and Shoulders', 'content': [[], ['Dumbbell Fly', '3', '15-20', '60 seconds'], ['Incline Dumbbell Press', '3', '15-20', '60 seconds'], ['Push Up', '3', '15-20', '60 seconds'], ['Arnold Press', '3', '15-20', '60 seconds'], ['Single Arm Lateral Raise', '3', '20 each arm', '60 seconds'], ['Dumbbell Upright Row', '3', '20', '60 seconds']]}, {'title': 'Day 2: Quadriceps and Calves', 'content': [[], ['Dumbbell Jump Squat', '3', '15-20', '60 seconds'], ['Dumbbell Bulgarian Split Squat', '3', '15-20 each leg', '60 seconds'], ['Dumbbell Leg Extension', '3', '20', '60 seconds'], ['Standing Single Leg Calf Raise', '3', '20', '60 seconds'], ['Seated Dumbbell Calf Raise', '3', '20', '60 seconds']]}, {'title': 'Day 4: Upper Back and Abs', 'content': [[], ['Two Arm Dumbbell Row', '3', '15-20', '60 seconds'], ['Dumbbell Pullover', '3', '15-20', '60 seconds'], ['Bent Over Rear Delt Fly', '3', '15-20', '60 seconds'], ['Dumbbell Shrug', '3', '15-20', '60 seconds'], ['Weighted Crunch', '3', '20', '60 seconds'], ['Dumbbell Knee-In', '3', '20', '60 seconds']]}, {'title': 'Day 5: Hamstrings and Glutes', 'content': [[], ['Stiff Leg Deadlift', '3', '15-20', '60 seconds'], ['Dumbbell Hamstring Curl', '3', '15-20', '60 seconds'], ['Walking Lunge', '3', '15-20', '60 seconds'], ['Dumbbell Glute Bridge', '3', '15-20', '60 seconds'], ['Dumbbell Sumo Squat', '3', '15-20', '60 seconds']]}, {'title': 'Day 6: Biceps and Triceps', 'content': [[], ['One Arm Overhead Dumbbell Extension', '3', '15-20 each arm', '60 seconds'], ['Dumbbell Tricep Kickbacks', '3', '15-20 each arm', '60 seconds'], ['Neutral Grip Dumbbell Press', '3', '15-20', '60 seconds'], ['Incline Dumbbell Curl', '3', '15-20', '60 seconds'], ['Standing Hammer Curl', '3', '15-20', '60 seconds'], ['Zottman Curl', '3', '15-20', '60 seconds']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '5', 'Time Per Workout': '30-60 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Female', 'Recommended Supps': 'Whey Protein\nMultivitamin\nFish Oil\nPre-Workout (optional)', 'Workout PDF': 'Download Workout'}"
8 Week Beginner Workout for Women,https://www.muscleandstrength.com/workouts/women,https://www.muscleandstrength.com/workouts/8-week-beginner-workout-for-women,"[{'title': 'Day 1: Full Body Beginner Women’s Workout', 'content': [[], ['Romanian Deadlift', '4', '6-8'], ['Leg Press', '3', '10-12'], ['Assisted Chin Up', '3', '6-8*'], ['Bench Press', '3', '6-10'], ['Cable Row', '3', '10-12'], ['Hip Abduction Machine', '2', '15'], ['Bodyweight Glute Bridge', '2', '30']]}, {'title': 'Day 2: Full Body Beginner Women’s Workout', 'content': [[], ['Barbell Back Squat', '4', '6-8'], ['Leg Curl', '3', '10-12'], ['Barbell Row', '3', '6-8'], ['Assisted Dips', '3', '6-8*'], ['Lateral Raise', '3', '10-12'], ['Kettlebell Swing', '2', '25'], ['Glute Kickbacks', '2', '30 Each']]}, {'title': 'Day 3: Full Body Beginner Women’s Workout', 'content': [[], ['Hip Thrust', '4', '6-8'], ['Goblet Squat', '3', '10-15'], ['Lat Pull Down', '3', '8-12'], ['Barbell Shoulder Press', '3', '6-8'], ['(Assisted) Push Up', '3', '10-12'], ['Dumbbell Curl', '2', '12'], ['Cable Tricep Extension', '2', '12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
