Workout Title,Category,Routine Link,Tables,Summary
Dumbbell Only Workout: 5 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/5-day-dumbbell-only-workout-split,"[{'title': 'Day 1: Chest, Shoulders, & Triceps Dumbbell Workout', 'content': [[], ['Dumbbell Bench Press', '5', '8-10'], ['Incline Dumbbell Bench Press', '4', '8-10'], ['Dumbbell Floor Press', '3', '8-12'], ['Standing Dumbbell Press', '4', '8-10'], ['Dumbbell Lateral Raise', '3', '8-12'], ['Dumbbell Tricep Kickback', '3', '8-12']]}, {'title': 'Day 2: Legs & Core Dumbbell Workout', 'content': [[], ['Dumbbell Goblet Squat', '4', '8-10'], ['Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['Dumbbell Rear Lunge', '4', '8-10 Each'], ['Dumbbell Frog Squat', '3', '8-12'], ['Dumbbell Calf Raise', '4', '20'], ['Weighted Crunch', '3', '20'], ['Side Planks', '3', '20 Secs Each']]}, {'title': 'Day 3: Back & Biceps Dumbbell Workout', 'content': [[], ['Dumbbell Bent Over Row', '4', '8-12'], ['Tripod Dumbbell Row', '4', '8-12 Each'], ['Dumbbell Pullover', '3', '8-12'], ['Reverse Grip Dumbbell Row', '4', '8-12'], ['Dumbbell Bicep Curl', '3', '10-15'], ['Dumbbell Hammer Curl', '3', '10-15']]}, {'title': 'Day 4: Legs & Core Dumbbell Workout', 'content': [[], ['Dumbbell Squat', '4', '8-10'], ['Dumbbell Deadlift', '4', '8-10'], ['Dumbbell Split Squat', '3', '8-12 Each'], ['Dumbbell Hip Thrust', '4', '10-15'], ['Dumbbell Calf Raise', '4', '20'], ['Dumbbell Side Bends', '3', '15 Each'], ['Plank', '3', '20 Secs']]}, {'title': 'Day 5: Complete Upper Body Dumbbell Workout', 'content': [[], ['One Arm Dumbbell Rows', '4', '8-10 Each'], ['Dumbbell Arnold Press', '4', '8-10'], ['Incline Dumbbell Bench Press', '4', '8-12'], ['Chest Supported Dumbbell Row', '3', '8-12'], ['Dumbbell Pinwheel Curl', '2', '8-12'], ['Overhead Dumbbell Tricep Extension', '3', '8-12'], ['Dumbbell Shrug', '3', '12-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,"[{'title': 'Day 1', 'content': [[], ['1. Dumbbell Squat', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. Bent Over Dumbbell Row', '3', '10'], ['4. Dumbbell Bench Press', '3', '10'], ['5. Lateral Raises', '2', '8'], ['6. Standing Dumbbell Curl', '2', '8'], ['7. Lying Dumbbell Extension', '2', '8']]}, {'title': 'Day 2', 'content': [[], ['1. Dumbbell Lunge', '3', '10'], ['2. Dumbbell Hamstring Curl', '3', '10'], ['3. Dumbbell Deadlift', '3', '10'], ['4. Dumbbell Military Press', '3', '10'], ['5. Dumbbell Flys', '2', '8'], ['6. Hammer Curl', '2', '8'], ['7. Seated Dumbbell Extension', '2', '8']]}, {'title': 'Day 3', 'content': [[], ['1. Dumbbell Step Up', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. One Arm Dumbbell Row', '3', '10'], ['4. Reverse Grip Dumbbell Press', '3', '10'], ['5. Dumbbell Rear Delt Fly', '2', '8'], ['6. Zottman Curl', '2', '8'], ['7. Close Grip Dumbbell Press', '2', '8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '25-30 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Workout: 4 Day Upper/Lower Dumbbell Workout Routine,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/dumbbell-only-upper-lower-workout-routine,"[{'title': 'Day 1: Dumbbell Upper Body Workout', 'content': [[], ['1. Bent Over Dumbbell Row', '4', '8-10'], ['2. Dumbbell Bench Press', '4', '8-10'], ['3. Dumbbell Lateral Raise', '3', '8-12'], ['4. Dumbbell Pullover', '3', '8-12'], ['5. Dumbbell Bicep Curl', '2', '8-12'], ['6. Dumbbell Tricep Extension', '2', '8-12'], ['7. Dumbbell Shrug', '2', '12-15']]}, {'title': 'Day 2: Dumbbell Lower Body Workout', 'content': [[], ['1. Goblet Squat', '4', '8-10'], ['2. Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['3. Dumbbell Plie Squat', '3', '8-12'], ['4. Dumbbell Hamstring Curl', '3', '8-12'], ['5. Standing Dumbbell Calf Raise', '3', '8-12'], ['6. Plank', '3', '20 Secs']]}, {'title': 'Day 3: Dumbbell Upper Body Workout', 'content': [[], ['1. One Arm Dumbbell Row', '4', '8-10'], ['2. Dumbbell Shoulder Press', '4', '8-10'], ['3. Incline Dumbbell Bench Press', '3', '8-12'], ['4. Chest Supported Dumbbell Row', '3', '8-12'], ['5. Dumbbell Hammer Curl', '2', '8-12'], ['6. Dumbbell Floor Press', '2', '8-12'], ['7. Seated Dumbbell Shrug', '2', '12-15']]}, {'title': 'Day 4: Dumbbell Lower Body Workout', 'content': [[], ['1. Dumbbell Stiff Leg Deadlift', '4', '8-10'], ['2. Dumbbell Rear Lunge', '4', '8-10'], ['3. Dumbbell Hip Thrust', '4', '8-10'], ['4. Dumbbell Split Squat', '3', '8-12'], ['5. Seated Dumbbell Calf Raise', '3', '8-12'], ['6. Planks', '3', '20 Secs']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Workout: 6 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/6-day-dumbbell-only-workout,"[{'title': 'Day 1: Push Dumbbell Workout A', 'content': [[], ['Dumbbell Bench Press', '5', '8-12'], ['Decline Dumbbell Bench Press', '3', '8-12'], ['Dumbbell Floor Press', '3', '8-12'], ['Seated Dumbbell Press', '4', '8-12'], ['Dumbbell Lateral Raise', '3', '8-12'], ['Dumbbell Tricep Overhead Extension', '3', '8-12']]}, {'title': 'Day 2: Pull Dumbbell Workout A', 'content': [[], ['Dumbbell Bent Over Row', '4', '8-12'], ['Chest Supported Dumbbell Row', '4', '8-12'], ['Dumbbell Pull Over', '3', '10-15'], ['Rear Delt Fly', '3', '10-15'], ['Dumbbell Bicep Curl', '3', '12-15'], ['Zottman Curl', '3', '12-15']]}, {'title': 'Day 3: Leg Dumbbell Workout A', 'content': [[], ['Dumbbell Squat', '4', '8-12'], ['Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['Dumbbell Goblet Squat', '4', '8-12'], ['Dumbbell Hip Thrust', '4', '8-12'], ['Dumbbell Calf Raise', '4', '15-20']]}, {'title': 'Day 4: Push Dumbbell Workout B', 'content': [[], ['Dumbbell Incline Bench Press', '5', '8-12'], ['Dumbbell Chest Fly', '3', '8-12'], ['Standing Dumbbell Press', '4', '8-12'], ['Arnold Press', '3', '8-12'], ['Lateral Raise', '3', '8-12'], ['Dumbbell Skullcrusher', '3', '8-12']]}, {'title': 'Day 5: Pull Dumbbell Workout B', 'content': [[], ['One Arm Dumbbell Row', '5', '8-12'], ['Reverse Grip Dumbbell Row', '4', '8-12'], ['Dumbbell Pullover', '4', '8-12'], ['Dumbbell Hammer Curl', '3', '10-15'], ['Reverse Curl', '3', '10-15']]}, {'title': 'Day 6: Leg Dumbbell Workout B', 'content': [[], ['Dumbbell Deadlift', '4', '8-12'], ['Dumbbell Split Squat', '4', '8-12 Each'], ['Dumbbell Goblet Squat', '3', '8-12'], ['Dumbbell Hip Thrust', '3', '10-15'], ['Dumbbell Calf Raise', '4', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Frankoman's Dumbbell Only Split,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/frankoman-dumbbell-only-split.html,"[{'title': 'Monday - Chest and Triceps', 'content': [[], ['Incline Dumbbell Bench Press', '4', '12,10,10,8'], ['Dumbbell Bench Press', '4', '12,10,10,8'], ['Dumbbell Flys', '3', '12'], ['Dumbbell Skullcrusher', '3', '12'], ['Dumbbell Tricep Kickback', '3', '12'], ['One Arm Seated Dumbbell Extension', '3', '12']]}, {'title': 'Wednesday - Back and Biceps', 'content': [[], ['One Arm Dumbbell Row', '5', '12,10,10,8,6'], ['Bent Over Dumbbell Row', '5', '12,10,10,8,6'], ['Dumbbell Pullover', '2', '12,10'], ['Incline Dumbbell Curl', '3', '10'], ['Standing Dumbbell Curl', '3', '10'], ['Cross Body Hammer Curl', '2', '10']]}, {'title': 'Friday - Legs and Shoulders', 'content': [[], ['Dumbbell Lunge', '4', '12,10,10,8'], ['Dumbbell Step Up', '3', '12'], ['Dumbbell Squat', '4', '12,10,10,8'], ['Dumbbell Stiff Leg Deadlift', '4', '12,10,10,8'], ['Seated Dumbbell Calf Raise', '2', '15,12'], ['Dumbbell Standing Calf Raise', '2', '12,10'], ['Standing Dumbbell Press', '4', '12,10,10,8'], ['Dumbbell Lateral Raise', '3', '12,10,10'], ['Bent Over Dumbbell Reverse Fly', '3', '12,10,10'], ['Dumbbell Shrug', '4', '12,10,10,8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '10 weeks', 'Days Per Week': '3', 'Time Per Workout': '45 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Multivitamin\nWhey Protein\nPre-Workout (Optional)', 'Workout PDF': 'Download Workout'}"
Dumbbell Only Home Or Gym Full Body Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/dumbbell-only-home-or-gym-fullbody-workout.html,"[{'title': 'Monday - Full Body', 'content': [[], ['Dumbbell Squat', '3', '6-12'], ['Dumbbell Bench Press', '3', '6-12'], ['One Arm Dumbbell Row', '3', '6-12'], ['Standing Dumbbell Curl', '3', '6-12'], ['Two Arm Seated Dumbbell Extension', '3', '6-12'], ['Sit Up', '3', '10-25']]}, {'title': 'Wednesday - Full Body', 'content': [[], ['Dumbbell Step Up', '3', '6-12'], ['Dumbbell Stiff Leg Deadlift', '3', '6-12'], ['Seated Dumbbell Press', '3', '6-12'], ['Standing One Leg Dumbbell Calf Raise', '3', '10-20'], ['Dumbbell Shrug', '3', '10-15'], ['Dumbbell Side Bends', '3', '10-15']]}, {'title': 'Friday - Full Body', 'content': [[], ['Dumbbell Lunge', '3', '6-12'], ['Dumbbell Floor Press', '3', '6-12'], ['Wide Grip Pull Up', '3', '6-12'], ['Standing Hammer Curl', '3', '6-12'], ['Lying Dumbbell Extension', '3', '6-12'], ['Lying Floor Leg Raise', '3', '10-25']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Bodyweight, Dumbbells', 'Target Gender': 'Male', 'Recommended Supps': '100% Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
4 Day Dumbbell and Bodyweight Fat Loss Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/single-pair-dumbbell-bodyweight-workout,"[{'title': 'Pull Day Workout', 'content': [[], ['One Arm Row', '5', '30, 25, 20, 15, 10'], ['Bent-Over Rear Lateral Raise', '3', '30, 20, 10'], ['One Arm Upright Row', '3', '30, 20, 10'], ['Seated Dumbbell Curl', '3', '20, 20, 20'], ['Hammer Curl', '3', '20, 20, 20'], ['Single Arm Dumbbell Shrug', '3', '30, 30, 30']]}, {'title': 'Legs and Abs Workout', 'content': [[], ['Split Squat', '3', '30, 20, 10'], ['Single Stiff-Leg Deadlift', '3', '30, 20, 10'], ['Walking Lunge', '3', '30, 20, 10'], ['Seated Calf Raise', '3', '30, 30, 30'], ['Weighted Crunch', '3', '20, 20, 20'], ['Superman', '3', '30 seconds']]}, {'title': 'Push Day Workout', 'content': [[], ['Floor Dumbbell Press', '5', '30, 25, 20, 15, 10'], ['Floor Dumbbell Fly', '3', '30, 20, 10'], ['Lateral Raise', '3', '30, 20, 10'], ['One Arm Overhead Extension', '3', '20, 20, 20'], ['One Arm Kickback', '3', '20, 20, 20'], ['Close Grip Push Up', '3', '20, 20, 20']]}, {'title': 'Full-Body Workout', 'content': [[], ['Dumbbell Standing Calf Raise', '1', '60 seconds', '60 seconds'], ['Stiff-Leg Deadlift', '1', '30 seconds', '30 seconds'], ['Bodyweight Squat Jumps', '1', '60 seconds', '60 seconds'], ['Lying Leg Raise', '1', '30 seconds', '30 seconds'], ['Plank', '1', '60 seconds', '60 seconds'], ['Dumbbell Pullover', '1', '30 seconds', '30 seconds'], ['Push Up', '1', '60 seconds', '60 seconds'], ['Arnold Press', '1', '30 seconds', '30 seconds'], ['Dumbbell Curl', '1', '60 seconds', '60 seconds']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '4', 'Time Per Workout': '30-60 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': ""Protein Powder\nBCAA's\nFish Oil"", 'Workout PDF': 'Download Workout'}"
Full Body Bodyweight Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html,"[{'title': 'Full Body Bodyweight Workout', 'content': [[], ['Jump Squat', '3', '10-15'], ['Push Up', '3', '15-20'], ['Pull Up', '3', '10-15'], ['Walking Lunge (Reps are for each leg)', '3', '10-15'], ['Dips', '3', '10-15'], ['Inverted Pull Ups', '3', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '1', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,"[{'title': 'Day 1: Every Minute On the Minute (EMOM)', 'content': [[], ['Sprint', '15 Seconds', '*'], ['Burpees', '15', '*'], ['Squat Jumps', '15', '*'], ['Walking Lunges', '8 Per Leg', '*'], ['Frog Sit Up', '15', '*'], ['Pushups', '15', '*'], ['Mountain Climbers', '15 Per Leg', '*'], ['Arm Circles', '15 Seconds', '*'], ['Shadow Boxing Combination', '15 Seconds', '*'], ['*Rest for remainder of minute between exercises']]}, {'title': 'Day 2: Circuit Training', 'content': [[], ['Sprint', '15 Seconds'], ['Burpees', '15'], ['Squat Jumps', '15'], ['Walking Lunges', '8 Per Leg'], ['Frog Sit Up', '15'], ['Pushups', '15'], ['Mountain Climbers', '15 Per Leg'], ['Arm Circles', '15 Seconds'], ['Shadow Boxing Combination', '15 Seconds']]}]","{'Main Goal': 'Lose Fat', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '20-35 minutes', 'Equipment Required': 'Bodyweight', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nFish Oil\nMultivitamin', 'Workout PDF': 'Download Workout'}"
3 Day Dumbbell & Barbell Home Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/dumbbell-barbell-home-workout.html,"[{'title': 'Monday - Chest and Back', 'content': [[], ['Chest Dips or bench dip', '4', 'MAX'], ['Deep Push ups (with hands on dumbbells)', '4', '12'], ['Dumbbell Flys', '3', '10'], ['Bent Over Barbell Row', '4', '10'], ['One Arm Dumbbell Row', '4', '10'], ['Upright Row', '3', '8']]}, {'title': 'Wednesday - Legs, Including Calves', 'content': [[], ['Squats', '4', '12,10,10,8'], ['Dumbbell Lunges', '3', '6 on each leg'], ['Deadlifts', '3', '10'], ['Standing Calf Raise (holding dumbbell)', '5', '12,12,10,8,8']]}, {'title': 'Friday - Shoulders and Arms', 'content': [[], ['Military Press', '4', '8-10'], ['Dumbbell Lateral Raise', '4', '12'], ['Bent Over Reverse Fly', '4', '12'], ['Barbell Bicep Curl', '5', '10'], ['French Press', '5', '10']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '6 weeks', 'Days Per Week': '3', 'Time Per Workout': '45 minutes', 'Equipment Required': 'Barbell, Dumbbells', 'Target Gender': 'Male & Female', 'Workout PDF': 'Download Workout'}"
