Workout Title,Category,Routine Link,Tables,Summary
6 Day Push/Pull/Legs (PPL) Powerbuilding Workout Split & Meal Plan,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/6-day-powerbuilding-split-meal-plan,"[{'title': 'Push Workout A - Chest, Shoulders & Triceps', 'content': [[], ['Flat Barbell Bench Press', '5', '15', '90-120 sec'], ['Flat Barbell Bench Press (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Seated Behind the Neck Press', '3', '25', '60 sec'], ['(Weighted) Tricep Dips', '3', '30', '60 sec'], ['Standing Cable Crossovers', '5', '50', '30 sec'], ['Seated Tricep Extensions (Dumbbell, Rope, or EZ Bar)', '5', '50', '30 sec'], ['Seated Dumbbell Lateral Raises', '5', '50', '15 sec']]}, {'title': 'Pull Workout A - Back, Traps & Biceps', 'content': [[], ['Barbell Conventional Deadlift', '5', '15', '90-120 sec'], ['Barbell Conventional Deadlift (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['(Weighted) Chin-ups', '3', '25', '60 sec'], ['Chest Supported Rows', '3', '30', '60 sec'], ['Shrugs (Dumbbell, Barbell, or Trap Bar)', '5', '50', '30 sec'], ['Standing Barbell Curls', '5', '50', '30 sec'], ['Standing Cable Reverse Fly', '5', '50', '15 sec']]}, {'title': 'Legs Workout A - Quads, Hamstrings & Calves', 'content': [[], ['Barbell Back Squat', '5', '15', '90-120 sec'], ['Barbell Back Squat (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Good Mornings', '3', '25', '60 sec'], ['Leg Press', '3', '30', '60 sec'], ['Reverse Hyperextension', '5', '50', '30 sec'], ['Leg Curl (Seated or Lying)', '5', '50', '30 sec'], ['Calf Raise (Seated or Standing)', '5', '50', '15 sec']]}, {'title': 'Push Workout B - Chest, Shoulders & Triceps', 'content': [[], ['Standing Overhead Press', '5', '15', '90-120 sec'], ['Standing Overhead Press (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Incline Bench Press (Dumbbell or Barbell)', '3', '25', '60 sec'], ['Close Grip Bench Press', '3', '30', '60 sec'], ['Seated Machine Fly', '5', '50', '30 sec'], ['Standing Tricep Pushdown (Rope, V-bar, or Straight Bar)', '5', '50', '30 sec'], ['Standing Cable Lateral Raises', '5', '50', '15 sec']]}, {'title': 'Pull Workout B - Back, Traps & Biceps', 'content': [[], ['Barbell Snatch Grip Deadlift', '5', '15', '90-120'], ['Barbell Snatch Grip Deadlift (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Rows', '3', '25', '60 sec'], ['(Weighted) Pull-ups', '3', '30', '60 sec'], ['1-arm Rows (Dumbbell or Barbell)', '5', '50', '30 sec'], ['Incline Dumbbell Curl', '5', '50', '30 sec'], ['Seated Machine Reverse Fly', '5', '50', '15 sec']]}, {'title': 'Legs Workout B - Quads, Hamstrings & Calves', 'content': [[], ['Quads, Hamstrings & Calves'], ['Exercise', 'Sets', 'Rep Goal Total', 'Rest'], ['Barbell Front Squat', '5', '15', '90-120 sec'], ['Barbell Front Squat (Use 20% less weight than your previous working sets)', '1', 'AMQRAP', 'N/A'], ['Barbell Romanian Deadlifts', '3', '25', '60 sec'], ['Barbell Hip Thrusts', '3', '30', '60 sec'], ['Dumbbell Lunges', '5', '50', '30 sec'], ['Seated Leg Extensions', '5', '50', '30 sec'], ['Hanging Leg Raises', '5', '50', '15 sec']]}, {'title': 'Legs Workout B - Quads, Hamstrings & Calves', 'content': [[], ['07:00\nWake Up', '', ''], ['07:30', '1 to 2 cups of coffee; 1 serving multivitamin (general health), 2-3g EPA/DHA fish oil (general health & inflammation control).', '50 calories, 0g protein, 0g carbs, 5.5g fat, 0g fiber, 0mg calcium'], ['8:00\nBreakfast', '6 large eggs, 1.5 cups fresh blueberries, 4 slices of turkey bacon, 1.5 cups of sliced mushrooms, 1 cup of sliced green peppers, 1 ounce of Swiss cheese.', '845 calories, 60g protein, 43g carbs, 49g fat, 9g fiber, 420mg calcium'], ['12:00\nLunch', '0.5 cup dry-measure jasmine rice, 6 ounces of roasted turkey breast, 1 cup steamed spinach, 1 tablespoon olive oil, 1 large red delicious apple.', '886 calories, 63g protein, 122g carbs, 18g fat, 9g fiber, 410mg calcium'], ['16:00\nPre Workout Snack', '2 slices of whole wheat bread, 3 tablespoons of peanut butter, 1 cup of whole milk, 1 scoop of whey protein, 1.5 cups sliced strawberries.', '737 calories, 49g protein, 68g carbs, 32g fat, 12g fiber, 520mg calcium'], ['17:30\nPre Workout', '0 to 300mg of caffeine (energy), 5g creatine (power output), 500mg agmatine sulfate (muscle pumps), 2000mg citrulline malate (muscle pumps), and 3000mg beta-alanine (muscular endurance)', ''], ['18:00-19:30\nWorkout', '10 to 15g of BCAAs intra-workout (recovery & fatigue management). Nutrition – 60 calories, 15g protein, 0g carbs, 0g fat, 0g fiber, 0mg calcium', ''], ['20:00\nDinner', '4 ounces dry-measure whole wheat pasta, 2 cups of tomato sauce, 2 cups steamed broccoli, 4 ounces raw-measure ground beef (80% lean/20% fat).', '931 calories, 48g protein, 134g carbs, 28g fat, 29g fiber, 200mg calcium'], ['23:00\nBed', '1 serving of ZMA (relaxation & nervous system recovery)', '']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nCreatine\nMultivitamin\nBCAAs\nCitrulline Malate\nAgmatine Sulfate\nBeta-Alanine\nZMA', 'Workout PDF': 'Download Workout'}"
Muscle & Strength Full Body Workout Routine,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/muscle-strength-full-body-workout-routine,"[{'title': 'Workout A', 'content': [[], ['Squats (Ramped)', '5', '5'], ['Bench Press (Ramped)', '5', '5'], ['Barbell Row (Ramped)', '5', '5'], ['Upright Row', '3', '10'], ['Skullcrushers', '3', '10'], ['Dumbbell Curls', '3', '10'], ['Leg Curls', '3', '12-15'], ['Ab Wheel Roll Out', '3', '10-15']]}, {'title': 'Workout B', 'content': [[], ['Deadlifts (Ramped)', '3', '5'], ['Romanian Deadlift', '2', '8-12'], ['Seated Overhead Press', '3', '8-10'], ['Pull Ups or Inverted Rows', '3', '10-15'], ['Dips', '3', '10-20'], ['Barbell Shrugs', '3', '10'], ['Standing or Seated Calf Raise', '3', '12-15'], ['Plank', '3', '60 seconds']]}, {'title': 'Workout C', 'content': [[], ['Squats (Ramped)', '3', '5'], ['Squats', '1', '20'], ['Incline Dumbbell Bench Press', '3', '10'], ['One Arm Dumbbell Row', '3', '10-15'], ['Seated Arnold Press', '3', '10-15'], ['Cable Tricep Extensions', '3', '10'], ['Barbell Curls', '3', '10'], ['Leg Curls', '3', '12-15'], ['Ab Wheel Roll Out', '3', '10-15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Multivitamin\nPre-Workout\nCreatine\nWhey Protein\nCasein Protein', 'Workout PDF': 'Download Workout'}"
Jason Blaha's Ice Cream Fitness 5x5 Novice Program,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/jason-blaha-ice-cream-fitness-5x5-novice-workout,"[{'title': 'Workout A', 'content': [[], ['Squats', '5', '5'], ['Bench Press', '5', '5'], ['Bent Over Row', '5', '5'], ['Barbell Shrugs', '3', '8'], ['Tricep Extensions', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Hyperextensions with plate', '2', '10'], ['Cable Crunches', '3', '10']]}, {'title': 'Workout B', 'content': [[], ['Squats', '5', '5'], ['Deadlift', '1', '5'], ['Standing Press', '5', '5'], ['Bent Over Row (10% lighter than Workout A)', '5', '5'], ['Close Grip Bench Press', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Cable Crunches', '3', '10']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '90 minutes', 'Equipment Required': 'Barbell, Cables, EZ Bar', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nCreatine\nFish Oil', 'Workout PDF': 'Download Workout'}"
The Tactical Physique: A Functional Strength Training & Conditioning Workout,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/tactical-physique-strength-conditioning-workout,"[{'title': 'Day 1: Strength', 'content': [[], ['Barbell Back Squat', '3 x 8-12', '4 x 5', '2min'], ['Barbell Romanian Deadlift', '1 x 12', '4 x 5', '2min'], ['Superset:'], ['A1: Incline Bench Dumbbell Press', '2 x 12', '4 x 5-8', '*'], ['A2: Wide-Grip Pull-Up', '2 x 12', '4 x 5-8', '*'], ['*Rest for one minute between supersets'], ['Superset:'], ['B1: TRX Row', '-', '3 x 10-15', '*'], ['B2: Plyometric Push-Up', '-', '3 x 10-15', '*'], ['*Rest for one minute between supersets'], ['Superset:'], ['C1: Hanging Leg Raise', '-', '3 x 15-20', '*'], ['C2: Planks', '-', '3 x 20-30s', '*'], ['*No rest between supersets'], ['Sprint Intervals', '-', '8 sprints', '1min']]}, {'title': 'Day 2: Hypertrophy and Muscular Endurance', 'content': [[], ['Superset:'], ['A1: Standing Barbell Shoulder Press', '2 x 12', '4 x 10-15', '*'], ['A2: Rear Delt Rope Pull', '2 x 12', '4 x 10-15', '*'], ['*No rest between supersets'], ['Bulgarian Split Squat', '2 x 12', '4 x 10 each leg', '30s'], ['Superset:'], ['B1: TRX Curls', '1 x 12', '4 x 10-15', '*'], ['B2: Parallel Bar Triceps Dips', '1 x 12', '4 x 10-15', '*'], ['*No rest between supersets'], ['Superset:'], ['C1: Dumbbell Deadlift', '-', '3 x 10-15', '*'], ['C2: Single Leg Calf Raise', '-', '3 x 10-15', '*'], ['*No rest between supersets'], ['Superset:'], ['D1: Incline 3-way Sit-Up', '-', '3 x 15-20', '*'], ['D2: Lying Leg Raise', '-', '3 x 15-20', '*'], ['*No rest between supersets'], [""Sled Pull or Drag, or Farmer's Walk"", '-', '3 Lengths', '1min']]}, {'title': 'Day 3: Power', 'content': [[], ['Clean and Press', '2 x 12-15', '3 x 5-8', '1min'], ['Jump Squat or Box Jump', '1 x 10', '4 x 10', '30s'], ['Walking lunge', '-', '3 lengths', '1min'], ['Plyometric Push-Up', '1 x 10', '3 x 5-8', '30s'], ['Single Arm Dumbbell or kettlebell flat bench press', '-', '3 x 5-8', '1min'], ['Bent-Over Barbell or Dumbbell Row', '1 x 12', '3 x 5-8', '1min'], ['3-Way Plank*', '-', '1xAMRAP', '-'], ['*Alternate from side, middle, to other side for 10s each (for total of 1-2min)'], ['Sprint Intervals', '-', '8 sprints', '1min']]}, {'title': 'Day 4: Speed and Agility', 'content': [[], ['Timed Shuttle Run (at least 10 yards)', '3min jog', '5 x max effort', '1-2min'], ['Superset:'], ['A1: Weighted Front Lunge', '-', '3 x 5', '*'], ['A2: Weighted Side Lunges (both sides)', '-', '3 x 5', '*'], ['A3: Weighted Reverse Lunge', '-', '3 x 5', '*'], ['*Rest for two minutes between supersets'], ['Seated Calf Raise', '-', '3 x 12', '30s'], ['Superset:'], ['B1: Reverse-Grip Chin-Up', '1 x 12', '3 x 8-12', '*'], ['B2: Flat Bench Barbell Press', '1 x 12', '3 x 8-12', '*'], ['*Rest for one minute between supersets'], ['Superset:'], ['C1: Dumbbell Shrug', '-', '3 x 8-12', '*'], ['C2: Hyperextension', '-', '3 x 8-12', '*'], ['*Rest for one minute between supersets'], ['Superset:'], ['D1: Floor Crunch', '-', '3 x 15-20', '*'], ['D2: Bent-Knee Hanging Less Raise', '-', '3 x 15-20', '*'], ['*No rest between supersets']]}, {'title': 'Day 5: Optional Full Body Conditioning', 'content': [[], ['Push-Up', '20'], ['Prisoner squat', '20'], ['Pull-up', '10'], ['Walking or stationary lunge', '10 each leg'], ['Triceps bench or parallel bar dip', '10'], ['Short sprint', 'Varied lengths'], ['Ab crunch', '20']]}]","{'Main Goal': 'General Fitness', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '10 weeks', 'Days Per Week': '4', 'Time Per Workout': '60 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Creatine\nWhey Protein\nPre-Workout\nMultivitamin', 'Workout PDF': 'Download Workout'}"
Super Strength: 8 Week Strength Building Workout for Beginners,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/8-week-super-strength-workout,"[{'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Week 1', 'Max Out Week (test your baseline)'], ['Week 2', '5 sets of 4 with 80% of your max'], ['Week 3', '5 sets of 3 with 85% of your max'], ['Week 4', '5 sets of 2 with 90% of your max'], ['Week 5', '4 sets of 4 with 80% of your max'], ['Week 6', '4 sets of 3 with 85% of your max'], ['Week 7', '4 sets of 2 with 90% of your max'], ['Week 8', 'Max Out Week (retest)']]}, {'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Squat', 'See Chart', 'See Chart'], ['Front Squat', '3', '5'], ['Bulgarian Split Squat', '3', '8'], ['Leg Extension', '3', '8']]}, {'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Bench Press', 'See Chart', 'See Chart'], ['Incline Bench Press', '3', '5'], ['Dumbbell Fly', '3', '8'], ['Tricep Dips', '3', '8']]}, {'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Deadlift', 'See Chart', 'See Chart'], ['Good Mornings', '3', '5'], ['Lying Leg Curl', '3', '8'], ['Walking Lunge', '3', '8']]}, {'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Standing Barbell Press', 'See Chart', 'See Chart'], ['Front Raise', '3', '5'], ['Seated Lateral Raise', '3', '8'], ['Rope Tricep Extension', '3', '8']]}, {'title': 'There aren’t enough exercises to target a specific muscle. Can I add those in?', 'content': [[], ['Bent-Over Barbell Row', 'See Chart', 'See Chart'], ['Pull Up or Lat Pull Down', '3', '5'], ['Rear Lateral Raise', '3', '8'], ['Incline Dumbbell Curl', '3', '8']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '5', 'Time Per Workout': '60 minutes', 'Equipment Required': 'Barbell, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein\nMultivitamins\nCreatine\nBCAAs (optional)', 'Workout PDF': 'Download Workout'}"
"6 Week Navy Seal Workout Routine: Speed, Strength & Endurance",https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/6-week-navy-seal-workout-routine,"[{'title': 'A Few Notes before You Begin', 'content': [[], ['Monday', 'Day 1 - Speed and Agility'], ['Tuesday', 'Day 2 - Power'], ['Wednesday', 'Off'], ['Thursday', 'Day 3 - Strength'], ['Friday', 'Day 4 - Hypertrophy & Muscular Endurance'], ['Saturday', 'Day 5 - Optional Full Body Conditioning'], ['Sunday', 'Off']]}, {'title': 'Dynamic Warm-Up', 'content': [[], ['Push-Ups', '20'], ['Deep Bodyweight Squats', '20'], ['Lying Ab Windshield Wipers', '10 (each side)'], ['Walking Lunges (long stride)', '20 paces'], ['Inverted Rows', '10'], ['Jump Squats', '10'], ['Side Lunges', '10 (each side)']]}, {'title': 'Day 1: Speed and Agility', 'content': [[], ['Sprints (at least 20 yards)', '3 minute jog', '5 rounds all-out effort', '120'], ['Timed shuttle run (at least 10 yards)', '-', '5 rounds all-out effort', '60 to 120'], ['Superset: Reverse Grip Chin-Up & Flat Bench Barbell Press', '1x12', '3x8-12', '60 after each superset'], ['Superset: Dumbbell Shrug & Hyperextension', '-', '3x8-12', '60 after each superset'], ['Superset: Floor Crunch & Bent-Knee Hanging Leg Raise', '-', '3x15-20', 'No Rest'], ['3-5 mile Jog at a Steady Pace', '-', '-', '-']]}, {'title': 'Day 2: Power', 'content': [[], ['Jump Squats or Box Jumps', '1x10', '4x10', '30'], ['Barbell Clean and Press', '2x12-15', '3x5-8', '60'], ['Plyo (hand clap) Push-Up', '1x10', '3x5-8', '30'], ['Explosive Single Arm Dumbbell or Kettlebell Flat Bench Press', '-', '3x5-8', '60'], ['Explosive Bent-Over Dumbbell Row', '1x12', '3x5-8', '60'], ['3-Way Plank: alternate from side, middle to other side without rest (10sec each)', '-', '1 set alternating every 10 seconds for 1 to 2 minutes', '-'], ['Sprint Intervals: total of 8 sprints with one minute rests', '-', '-', '-']]}, {'title': 'Day 3: Strength', 'content': [[], ['Barbell Floor Deadlift or Barbell Back Squat', '3x8-12', '4x5', '120'], ['Seated Leg Curl or Romanian Deadlift', '1x12', '4x5', '120'], ['Superset: Inverted or TRX Row & Plyo Push-Up', '-', '3x10-15', '60 after each superset'], ['Superset: Incline Bench Dumbbell Press & Wide-Grip Pull-Up', '2x12', '4x5-8', '60 after each superset'], ['Superset: Hanging Leg Raise & Planks', '-', '3x15-20 & 20-30 sec for planks', 'No rest'], ['3-5 mile Jog at a steady pace', '-', '-', '-']]}, {'title': 'Day 4: Hypertrophy & Muscular Endurance', 'content': [[], ['Superset: Standing Barbell Shoulder Push Press & Rear Delt Rope Pull', '2x12', '4x10-15', 'No rest'], ['Bulgarian Split Squat', '2x12', '4x10 each leg', '30'], ['Superset: Standing Barbell or TRX Curl & Parallel Bar Triceps Dips', '1x12', '4x10-15', 'No rest'], ['Superset: Feet-Elevated Push-Up & Single Leg Calf Raise', '-', '3x10-15', 'No rest'], ['Superset: Incline 3-Way Sit-Up & Lying Leg Raise', '-', '3x15-20', 'No rest'], [""Sled Pull or Drag or Farmer's Walk"", '-', '3 lengths', '60']]}, {'title': 'Day 5: Optional Full Body Conditioning', 'content': [[], ['Push-Up', '20'], ['Prisoner Squat', '20'], ['Pull-Up', '10'], ['Walking Lunge', '10 each leg'], ['Triceps Bench or Parallel Bar Dip', '10'], ['Short Sprint', 'Varied lengths'], ['Ab Crunch', '20'], ['*End with 3-5 mile jog at a steady pace']]}]","{'Main Goal': 'General Fitness', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '6 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Dumbbells, Foam Roll', 'Target Gender': 'Male & Female', 'Recommended Supps': 'NitroTech\nNitroTech Crunch Bar\nPlatinum Fish Oil\nVapor (Optional)', 'Workout PDF': 'Download Workout'}"
Power Muscle Burn 5 Day Powerbuilding Split,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/power-muscle-burn-5-day-powerbuilding-split.html,"[{'title': 'Day 1 - Chest and Triceps', 'content': [[], ['Bench Press - Power', '2-4', '3 to 5'], ['Incline Bench Press  - Muscle', '2-3', '6 to 12'], ['Dumbbell Bench Press - Muscle', '2-3', '6 to 12'], ['Dumbbell Flys - Burn', '1', '40'], ['Closegrip Bench Press - Power', '2', '3 to 5'], ['Seated French Press  - Muscle', '2', '6 to 12'], ['Cable Tricep Extension - Burn', '1', '40']]}, {'title': 'Day 2 - Back and Traps', 'content': [[], ['Barbell Rows - Power', '2-4', '3 to 5'], ['Dumbbell Rows  - Muscle', '2-3', '6 to 12'], ['Lat Pull Down - Muscle', '2-3', '6 to 12'], ['Seated Cable Row - Burn', '1', '40'], ['Power Barbell Shrugs - Power', '2', '3 to 5'], ['Dumbbell Shrugs  - Muscle', '2', '6 to 12'], ['Power Barbell Shrugs - Burn', '1', '40']]}, {'title': 'Day 3 - Quads and Calves', 'content': [[], ['Squat - Power', '2-4', '3 to 5'], ['Leg Press  - Muscle', '2-3', '6 to 12'], ['Front Squat - Muscle', '2-3', '6 to 12'], ['Leg Press - Burn', '1', '40'], ['Seated Calf Raise - Muscle', '2', '10 to 15'], ['45 Degree Calf Raise  - Burn', '2', '40']]}, {'title': 'Day 5 - Shoulders and Biceps', 'content': [[], ['Seated Barbell Press - Power', '2-4', '3 to 5'], ['Seated Arnold Press  - Muscle', '2-3', '6 to 12'], ['Barbell Front Raise - Muscle', '2', '6 to 12'], ['Dumbbell Lateral Raise - Burn', '1', '40'], ['Pinwheel Curls - Power', '2', '3 to 5'], ['Standing Barbell Curl  - Muscle', '2-3', '6 to 12'], ['Cable Preacher Curl - Burn', '1-2', '40']]}, {'title': 'Day 6 - Deadlift and Hamstrings', 'content': [[], ['Deadlift - Power', '2-4', '3 to 5'], ['Romanian Deadlift - Muscle', '3-4', '6 to 12'], ['Leg Curl  - Muscle', '3-4', '6 to 12'], ['Leg Curl - Burn', '1', '40']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-60 minutes', 'Equipment Required': 'Barbell, Cables, Dumbbells, Machines', 'Target Gender': 'Male', 'Recommended Supps': 'Protein Powder\nCasein Protein\nWeight Gainer/MRP\nCreatine Monohydrate', 'Workout PDF': 'Download Workout'}"
"Jamal Browner’s 2-Day Deadlifting Program: Deadlift 1,000+ Lbs",https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/jamal-browner-deadlift-program,"[{'title': 'Watch Jamal Demonstrate a Paused Deadlift', 'content': [['Day 1 (Monday)'], [], ['Paused Deadlift', '1', '2', '80%', 'Technique-focused'], ['Paused Deadlift', '3', '5', '65%', ''], ['Leg Extensions', '3', '8-10', '3 RIR', ''], ['Hamstring Curls', '3', '8-10', '3 RIR', ''], ['Core Work', '4', 'see notes', '', 'Any of your choice']]}, {'title': 'Watch Jamal Demonstrate a Paused Deadlift', 'content': [['Day 2 (Friday)'], [], ['Deadlift', '1', '1', '87.5%', ''], ['Deadlift', '2', '2', '80%', ''], ['Deadlift', '2', '3', '72.5%', ''], ['Romanian Deadlift', '3', '6-8', '3 RIR', ''], ['Core Work', '3', 'see notes', '', 'Any of your choice']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Single Muscle Group', 'Training Level': 'Intermediate', 'Program Duration': '9 weeks', 'Days Per Week': '2', 'Equipment Required': 'Barbell, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'C4 Ultimate Strength\nCOR-Performance Creatine\nC4 Sport Strength', 'Workout PDF': 'Download Workout'}"
Hollywood Muscle: Henry Cavill Inspired Workout Routine,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/henry-cavill-workout,"[{'title': 'Henry Cavill Inspired Workout 1', 'content': [[], ['Barbell Squats', '5', '8'], ['Romanian Deadlift', '3', '10'], ['Walking Lunge', '3', '15 Each'], ['Banded Good Morning', '3', '20'], ['Pallof Press', '3', '15 Each']]}, {'title': 'Henry Cavill Inspired Workout 2', 'content': [[], ['Bench Press', '5', '8'], ['Decline Dumbbell Bench Press', '3', '12'], ['Dumbbell Rows', '5', '10'], ['Dumbbell Reverse Fly', '5', '20'], ['Dips', '3', '15'], ['A1. Barbell Reverse Curls', '3', '15'], ['A2. Cable Rope Extension', '3', '15']]}, {'title': 'Henry Cavill Inspired Workout 3', 'content': [[], ['Deadlift', '5', '8'], ['Hyperextension', '3', '10'], ['Box Squat', '3', '10'], ['T-Bar Row', '3', '10'], ['Lat Pull Down', '3', '12'], ['Dead Bug', '3', '10-12']]}, {'title': 'Henry Cavill Inspired Workout 4', 'content': [[], ['Military Press', '5', '8'], ['3 Way Shoulder Raise', '3', '15'], ['Pull Up', '4', '10'], ['Tricep Push Up', '3', '15'], ['A1. Alternating Dumbbell Curls', '3', '15 Each'], ['A2. Dips', '3', '12']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '8 weeks', 'Days Per Week': '4', 'Time Per Workout': '60-90 minutes', 'Equipment Required': 'Bands, Barbell, Bodyweight, Cables, Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nVitamin D\nMultivitamin\nFish Oil\nCreatine', 'Workout PDF': 'Download Workout'}"
Modified Strength Hypertrophy Upper Lower (S.H.U.L) Workout,https://www.muscleandstrength.com/workouts/strength,https://www.muscleandstrength.com/workouts/shul-workout,"[{'title': 'SHUL Workout Schedule', 'content': [[], ['Safety Bar or Front Squat', '3-4', '3-5'], ['Trap Bar Deadlift', '3-4', '3-5'], ['Hack Squat Machine', '3-5', '10-15'], ['Glute Ham Raise', '3-4', '6-10'], ['Seated Calf Raise', '4', '6-10']]}, {'title': 'SHUL Workout Schedule', 'content': [[], ['Dumbbell Bench Press', '3-4', '3-5'], ['One Arm Dumbbell Row', '3-4', '3-5 Each'], ['Overhead Press', '3', '3-5'], ['Pull Up', '3-4', '6-10'], ['Incline Bench Press', '3-4', '6-10'], ['Triceps Dips', '2-3', '6-10'], [""Farmer's Carry"", '2-4', '40-80 Yards']]}, {'title': 'SHUL Workout Schedule', 'content': [[], ['Front Squat or Goblet Squat', '3-4', '8-12'], ['Dumbbell Reverse Lunge', '3-4', '8-12'], ['Barbell Hip Thrust', '3-4', '8-12'], ['Leg Extension', '3-4', '10-15'], ['Romanian Deadlift', '3-4', '10-15'], ['Standing Machine Calf Raise', '3-4', '8-12']]}, {'title': 'SHUL Workout Schedule', 'content': [[], ['Incline Dumbbell Bench Press', '3-4', '8-12'], ['Decline Bench Press', '3-4', '8-12'], ['Lat Pull Down', '3-4', '8-12'], ['Inverted Row', '3-4', '8-12'], ['Cable Face Pull', '3-4', '8-12'], ['Lateral Raise', '3-4', '8-12'], ['Barbell Curl', '3-4', '8-12'], ['Incline Skullcrusher', '3-4', '8-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Intermediate', 'Program Duration': '12 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-90 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein Powder\nBeta-Alanine\nCitrulline Malate\nCreatine Monohydrate', 'Workout PDF': 'Download Workout'}"
