Workout Title,Category,Routine Link,Tables,Summary
Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,"[{'title': 'Day 1', 'content': [[], ['1. Dumbbell Squat', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. Bent Over Dumbbell Row', '3', '10'], ['4. Dumbbell Bench Press', '3', '10'], ['5. Lateral Raises', '2', '8'], ['6. Standing Dumbbell Curl', '2', '8'], ['7. Lying Dumbbell Extension', '2', '8']]}, {'title': 'Day 2', 'content': [[], ['1. Dumbbell Lunge', '3', '10'], ['2. Dumbbell Hamstring Curl', '3', '10'], ['3. Dumbbell Deadlift', '3', '10'], ['4. Dumbbell Military Press', '3', '10'], ['5. Dumbbell Flys', '2', '8'], ['6. Hammer Curl', '2', '8'], ['7. Seated Dumbbell Extension', '2', '8']]}, {'title': 'Day 3', 'content': [[], ['1. Dumbbell Step Up', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. One Arm Dumbbell Row', '3', '10'], ['4. Reverse Grip Dumbbell Press', '3', '10'], ['5. Dumbbell Rear Delt Fly', '2', '8'], ['6. Zottman Curl', '2', '8'], ['7. Close Grip Dumbbell Press', '2', '8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '25-30 minutes', 'Equipment Required': 'Dumbbells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nProtein Bars (Optional)\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
3 Day Full Body Planet Fitness Workout (Machines & Dumbbells Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-planet-fitness-workout,"[{'title': 'Planet Fitness Full Body Workout Day 1', 'content': [[], ['1. Goblet Squat', '4', '8-12'], ['2. Lying Leg Curl', '3', '10-15'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Dumbbell Row', '4', '8-12'], ['5. Lat Pull Down', '3', '10-15'], ['6. Incline Dumbbell Bench Press', '4', '8-12'], ['7. Lateral Raise', '3', '10-15']]}, {'title': 'Planet Fitness Full Body Workout Day 2', 'content': [[], ['1. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['2. Leg Extension', '3', '10-15'], ['3. Assisted Pull Up Machine', '4', '8-12'], ['4. Seated Cable Row', '3', '10-15'], ['5. Seated Dumbbell Press', '4', '8-12'], ['6. Dumbbell Bench Press', '3', '10-15'], ['7. Skullcrusher', '3', '8-12'], ['8. Dumbbell Curl', '3', '8-12']]}, {'title': 'Planet Fitness Full Body Workout Day 3', 'content': [[], ['1. Leg Press', '4', '8-12'], ['2. Walking Lunge', '3', '10-15 Each'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Smith Machine Row', '4', '8-12'], ['5. Cable Face Pull', '3', '10-15'], ['6. Push Up', '3', '10-15'], ['7. Close Grip Push Up', '3', '8-12'], ['8. Cable Curl', '3', '8-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMulti Vitamin\nFish Oil\nCreatine Monohydrate\nProtein Bars', 'Workout PDF': 'Download Workout'}"
3 Day Muscle Building Workout For Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html,"[{'title': 'Monday - Chest and Triceps', 'content': [[], ['Dumbbell Bench Press', '4', '12,10,10,10'], ['Incline Bench Press', '2', '10'], ['Tricep Dip', '3', 'Failure'], ['Lying Tricep Extension', '3', '10']]}, {'title': 'Wednesday - Back and Biceps', 'content': [[], ['Wide Grip Pull Up', '4', '10'], ['Seated Row', '3', '12'], ['One Arm Dumbbell Row', '3', '10'], ['Standing Barbell Curl', '3', '8-10']]}, {'title': 'Friday - Legs and Shoulders', 'content': [[], ['45 Degree Leg Press', '4', '12,10,10,10'], ['Leg Extension', '3', '12'], ['Leg Curl', '3', '12'], ['Military Press', '4', '8-10'], ['Dumbbell Lateral Raise', '3', '10']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '10 weeks', 'Days Per Week': '3', 'Time Per Workout': '30 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
Jason Blaha's Ice Cream Fitness 5x5 Novice Program,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/jason-blaha-ice-cream-fitness-5x5-novice-workout,"[{'title': 'Workout A', 'content': [[], ['Squats', '5', '5'], ['Bench Press', '5', '5'], ['Bent Over Row', '5', '5'], ['Barbell Shrugs', '3', '8'], ['Tricep Extensions', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Hyperextensions with plate', '2', '10'], ['Cable Crunches', '3', '10']]}, {'title': 'Workout B', 'content': [[], ['Squats', '5', '5'], ['Deadlift', '1', '5'], ['Standing Press', '5', '5'], ['Bent Over Row (10% lighter than Workout A)', '5', '5'], ['Close Grip Bench Press', '3', '8'], ['Straight Bar or Incline Curls', '3', '8'], ['Cable Crunches', '3', '10']]}]","{'Main Goal': 'Increase Strength', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '90 minutes', 'Equipment Required': 'Barbell, Cables, EZ Bar', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nCreatine\nFish Oil', 'Workout PDF': 'Download Workout'}"
12 Week Full Body Workout Routine for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,"[{'title': 'Weeks 1-3:', 'content': [[], ['Leg Press', '1', '15'], ['Lying Leg Curl', '1', '15'], ['Seated Cable Curl', '1', '15'], ['Flat Bench Press', '1', '15'], ['Dumbbell Press', '1', '15'], ['Dumbbell Shrug', '1', '15'], ['Tricep Pushdown', '1', '15'], ['Barbell Curl', '1', '15'], ['Back Extension', '1', '15'], ['Standing Calf Raise', '1', '15'], ['Barbell Wrist Curl', '1', '15'], ['Crunches', '1', '15']]}, {'title': 'Weeks 4-6:', 'content': [[], ['Leg Press', '2', '12'], ['Lying Leg Curl', '2', '12'], ['Seated Cable Row', '2', '12'], ['Flat Bench Press', '2', '12'], ['Dumbbell Press', '2', '12'], ['Dumbbell Shrug', '2', '12'], ['Tricep Pushdown', '2', '12'], ['Barbell Curl', '2', '12'], ['Back Extension', '2', '12'], ['Standing Calf Raise', '2', '12'], ['Barbell Wrist Curl', '2', '12'], ['Crunches', '2', '12']]}, {'title': 'Workout 1: Upper Body', 'content': [[], ['Flat Dumbbell Press', '2', '10-12'], ['Pec Deck Fly', '1', '10-12'], ['Single Arm Dumbbell Row', '2', '10-12'], ['Seated Cable Row', '1', '10-12'], ['Seated Dumbbell Press', '2', '10-12'], ['Dumbbell Lateral Raise', '1', '10-12'], ['Dumbbell Shrug', '2', '10-15'], ['Tricep Pushdown', '2', '10-15'], ['Barbell Curl', '2', '10-12'], ['Barbell Wrist Curl', '2', '10-12']]}, {'title': 'Workout 2: Lower Body', 'content': [[], ['Smith Machine Squats', '1', '8-12'], ['Leg Extension', '1', '10-12'], ['Lying Leg Curl', '1', '10-12'], ['Back Extension', '1', '20-30'], ['Standing Calf Raise', '1', '12-15'], ['Crunches', '2', '15-40'], ['Reverse Crunch', '2', '15-30']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '12 weeks', 'Days Per Week': '3', 'Time Per Workout': '30-45 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Whey Protein\nMultivitamin\nFish Oil', 'Workout PDF': 'Download Workout'}"
5 Day Body Part Split Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/5-day-body-part-split-planet-fitness-workout,"[{'title': 'Day 1: Planet Fitness Chest Workout', 'content': [[], ['Dumbbell Incline Bench Press', '5', '8-12'], ['Machine Chest Press', '4', '8-10'], ['A1. Cable Fly', '4', '10-15'], ['A2. Chest Dip', '4', '8-12'], ['B1. Machine Chest Fly', '3', '12-15'], ['B2. Push Up', '3', 'Failure']]}, {'title': 'Day 2: Planet Fitness Back Workout', 'content': [[], ['Pull Ups', '5', '8-12'], ['Dumbbell Row', '4', '8-12'], ['Smith Machine Row', '4', '8-12'], ['A1. Seated Cable Row', '3', '10-15'], ['A2. Close Grip Pull Down', '3', '10-15'], ['Straight Arm Lat Pull Down', '2', '20']]}, {'title': 'Day 3: Planet Fitness Leg Workout', 'content': [[], ['Leg Press', '4', '8-12'], ['Goblet Squat', '3', '8-12'], ['Dumbbell Hip Thrust', '4', '8-12'], ['A1. Lying Leg Curl', '3', '10-15'], ['A2. Dumbbell Rear Lunge', '3', '10-15 Each'], ['Standing Calf Raise', '4', '20-25'], ['Glute Focused Hyperextension', '3', '10-15']]}, {'title': 'Day 4: Planet Fitness Shoulder Workout', 'content': [[], ['Seated Dumbbell Press', '4', '8-12'], ['Dumbbell Lateral Raise', '4', '8-12'], ['Cable Face Pull', '3', '10-15'], ['Machine Lateral Raise', '3', '10-15'], ['Machine Reverse Fly', '3', '10-15'], ['Smith Machine Shrug', '4', '8-12']]}, {'title': 'Day 5: Planet Fitness Arm Workout', 'content': [[], ['Dumbbell Curl', '3', '10-12'], ['Lying Dumbbell Tricep Extension', '3', '10-12'], ['Cable Hammer Curl', '3', '10-12'], ['Tricep Dip', '3', '10-12'], ['Machine Preacher Curl', '3', '10-12'], ['Standing Cable Overhead Extension', '3', '10-12']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '5', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMulti Vitamin\nFish Oil\nCreatine Monohydrate\nProtein Bars', 'Workout PDF': 'Download Workout'}"
4 Day Upper/Lower Planet Fitness Workout (Machine & Dumbbell Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/4-day-upper-lower-planet-fitness-workout,"[{'title': 'Planet Fitness Upper Body Workout A', 'content': [[], ['1. Dumbbell Bench Press', '4', '8-12'], ['2. Machine Chest Fly', '3', '10-15'], ['3. Dumbbell Row', '4', '8-12'], ['4. Lat Pull Down', '4', '8-12'], ['5. Machine Shoulder Press', '4', '8-12'], ['6. Dumbbell Lateral Raise', '3', '10-15'], ['7. Machine Tricep Dip', '2', '8-12'], ['8. Cable Curl', '2', '10-15']]}, {'title': 'Planet Fitness Lower Body Workout A', 'content': [[], ['1. Leg Press', '4', '8-12'], ['2. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['3. Leg Extension', '3', '12-15'], ['4. Leg Curl', '3', '12-15'], ['5. Machine Glute Kickback', '3', '12-15'], ['6. Standing Calf Raise', '3', '20']]}, {'title': 'Planet Fitness Upper Body Workout B', 'content': [[], ['1. Seated Dumbbell Press', '4', '8-12'], ['2. Cable Face Pull', '3', '10-15'], ['3. Smith Machine Row', '4', '8-12'], ['4. Machine Pull Up', '4', '8-12'], ['5. Incline Dumbbell Press', '4', '8-12'], ['6. Cable Fly', '3', '10-15'], ['7. Dumbbell Curl', '2', '8-12'], ['8. Skullcrusher', '2', '8-12']]}, {'title': 'Planet Fitness Lower Body Workout B', 'content': [[], ['1. Goblet Squat', '4', '8-12'], ['2. Smith Machine Hip Thrust', '4', '8-12'], ['3. Dumbbell Deadlift', '4', '8-12'], ['4. Dumbbell Lunge', '3', '10-15 Each'], ['5. Seated Leg Curl', '3', '10-15'], ['6. Seated Calf Raise', '3', '20']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '4', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Bodyweight, Cables, Dumbbells, EZ Bar, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMulti Vitamin\nFish Oil\nCreatine Monohydrate\nProtein Bars', 'Workout PDF': 'Download Workout'}"
6 Day Push/Pull/Legs Planet Fitness Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/6-day-push-pull-legs-planet-fitness-workout,"[{'title': 'Planet Fitness Push Workout A', 'content': [[], ['1. Dumbbell Bench Press', '4', '8-12'], ['2. Incline Smith Machine Bench Press', '3', '8-10'], ['3. Dips', '3', '10-15'], ['4. Seated Arnold Press', '4', '8-12'], ['5. Lateral Raise', '3', '10-15'], ['6. Cable Overhead Tricep Extension', '4', '12-15']]}, {'title': 'Planet Fitness Pull Workout A', 'content': [[], ['1. Dumbbell Row', '4', '8-12'], ['2. Seated Cable Row', '4', '8-12'], ['3. Pull Up', '3', '8-12'], ['4. Inverted Row', '3', '8-12'], ['5. Dumbbell Curl', '4', '10-15']]}, {'title': 'Planet Fitness Legs Workout A', 'content': [[], ['1. Leg Press', '4', '8-10'], ['2. Smith Machine Front Squat', '4', '8-10'], ['3. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['4. Lying Leg Curl', '3', '8-12'], ['5. Bodyweight Hip Thrust', '3', '10-15'], ['6. Standing Calf Raise', '4', '15']]}, {'title': 'Planet Fitness Push Workout B', 'content': [[], ['1. Standing Dumbbell Press', '4', '8-12'], ['2. Seated Lateral Raise', '3', '10-15'], ['3. Lateral Raise Machine', '3', '12-15'], ['4. Incline Dumbbell Bench Press', '4', '8-12'], ['5. Push Ups', '4', '10-15'], ['6. Lying Dumbbell Tricep Extensions', '4', '12-15']]}, {'title': 'Planet Fitness Pull Workout B', 'content': [[], ['1. Lat Pull Down', '4', '8-12'], ['2. Cable Face Pull', '4', '10-15'], ['3. Smith Machine Row', '4', '8-10'], ['4. Straight Arm Lat Pull Down', '4', '10-15'], ['5. Cable Curl', '4', '10-15']]}, {'title': 'Planet Fitness Legs Workout B', 'content': [[], ['1. Dumbbell Rear Lunge', '4', '8-12 Each'], ['2. Goblet Squat', '4', '8-15'], ['3. Seated Leg Curl', '3', '10-15'], ['4. Dumbbell Deadlift', '3', '8-12'], ['5. Glute Hyperextension', '3', '12-15'], ['6. Leg Press Calf Press', '4', '15']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Split', 'Training Level': 'Beginner', 'Program Duration': '8 weeks', 'Days Per Week': '6', 'Time Per Workout': '45-70 minutes', 'Equipment Required': 'Bodyweight, Cables, Dumbbells, Machines', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMulti Vitamin\nFish Oil\nCreatine Monohydrate\nProtein Bars', 'Workout PDF': 'Download Workout'}"
3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,"[{'title': 'Full Body Kettlebell Workout 1', 'content': [[], ['Kettlebell Squat', '3', '8'], ['Kettlebell Swing', '3', '8'], ['Kettlebell Row', '3', '8'], ['Kettlebell Overhead Press', '3', '8'], ['Turkish Get Up', '3', '6 Each']]}, {'title': 'Full Body Kettlebell Workout 2', 'content': [[], ['Kettlebell Romanian Deadlift', '3', '8'], ['Kettlebell Split Lunge', '3', '8 Each'], ['Kettlebell Snatch', '3', '6'], ['Kettlebell Row', '3', '8'], ['One Arm Kettlebell Floor Press', '3', '8 Each']]}, {'title': 'Full Body Kettlebell Workout 3', 'content': [[], ['Kettlebell Sumo Deadlift', '3', '8'], ['Kettlebell Lateral Lunge', '3', '8 Each'], ['Kettlebell Clean', '3', '6'], ['Kettlebell Upright Row', '3', '8'], ['Kettlebell Angled Press', '3', '8']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '4 weeks', 'Days Per Week': '3', 'Time Per Workout': '20-45 minutes', 'Equipment Required': 'Kettle Bells', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nCreatine (Optional)', 'Workout PDF': 'Download Workout'}"
3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,"[{'title': 'Full Body Workout for Beginners', 'content': [[], ['Trap Bar Deadlift', '3', '3-5'], ['Bent Over Row', '3', '5-8'], ['Dumbbell Overhead Press', '3', '6-10'], ['Lat Pull Down', '3', '6-10'], ['Dumbbell Bicep Curl', '2', '10-12'], ['Rope Pressdown', '2', '10-12'], ['Plank', '2', 'Failure*']]}, {'title': 'Full Body Workout for Beginners', 'content': [[], ['Front Squats', '3', '3-5'], ['Romanian Deadlift', '3', '6-10'], [""Farmer's Carry"", '3', '45 Secs'], ['Dumbbell Row', '3', '10-15'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Calf Raise', '3', '15-20'], ['Dead Bugs', '2', '6-12 Each']]}, {'title': 'Full Body Workout for Beginners', 'content': [[], ['Bench Press', '3', '3-5'], ['Leg Press', '3', '6-10'], ['Leg Curl', '3', '8-12'], ['Lateral Raise', '3', '10-15'], ['Cable Row', '3', '8-12'], ['EZ Bar Curl', '2', '10-12'], ['Skullcrusher', '2', '10-12'], ['Pallof Press', '2', '6-12 Each']]}]","{'Main Goal': 'Build Muscle', 'Workout Type': 'Full Body', 'Training Level': 'Beginner', 'Program Duration': '9 weeks', 'Days Per Week': '3', 'Time Per Workout': '45-75 minutes', 'Equipment Required': 'Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other', 'Target Gender': 'Male & Female', 'Recommended Supps': 'Protein Powder\nMultivtimain\nFish Oil', 'Workout PDF': 'Download Workout'}"
